결정례일련번호,구분,문장번호,내용
55321,전문,1,사 건 2017헌마610 의료법 제65조 제1항 제1호 등 위헌확인
55321,전문,2,청 구 인 이 ○ 규
55321,전문,3,대리인 변호사 이○
55321,전문,4,[주 문]
55321,전문,5,이 사건 심판청구를 각하한다.[이 유]
55321,전문,6,1.사건개요
55321,전문,7,"청구인은 ○○병원을 운영하던 의사로서, 의료기기 등에 대한 납품 대가 명목으로 금원을 수수하였다는 사실로 기소되어 2014.6.17."
55321,전문,8,"청주지방법원에서 징역 10월에 집행유예 2년 등을 선고받고(청주지방법원 2013고단1421), 2016.7.15."
55321,전문,9,상고가 기각됨으로써 위 형이 확정되었다(대법원 2016도8011).
55321,전문,10,보건복지부장관은 청구인이 의료법 위반으로 금고 이상의 형을 선고받았다는 이유로 2016.12.14.
55321,전문,11,청구인의 의사면허를 취소하는 처분을 하였다(이하 ‘이 사건 취소처분’이라 한다).
55321,전문,12,이에 청구인은 2017.5.30.
55321,전문,13,이 사건 취소처분과 관련된 법률조항인 의료법 제65조 제1항 제1호 중 ‘제8조 제4호’ 부분(이하 ‘면허취소조항’이라 한다)및 제66조 제1항 제9호(이하 ‘면허정지조항’이라 한다)의 헌법불합치 결정을 구하는 취지의 이 사건 헌법소원심판을 청구하였다.
55321,전문,14,2.판단
55321,전문,15,가.면허정지조항에 대한 심판청구
55321,전문,16,"헌법재판소법 제68조 제1항에 의한 헌법소원의 청구인은 자신의 기본권에 대한 공권력 주체의 침해 행위가 위헌적임을 구체적이고 명확하게 주장하여야 하고, 그와 같이 기본권 침해의 가능성을 확인할 수 있을 정도로 구체적인 주장을 하지 아니하고 막연하고 모호한 주장만을 하는 경우 그 헌법소원은 부적법하다(헌재 2005.2.3."
55321,전문,17,2003헌마544등 참조).
55321,전문,18,"청구인은 보건복지부장관이 면허정지조항을 적용하여야 하였음에도 면허취소조항을 적용하여 이 사건 취소처분을 한 것이 부당하다는 취지로 주장하고 있으나, 처분청이 어떠한 법률조항에 근거하여 처분하는지는 처분의 위법성에 관한 문제에 불과할 뿐, 법률조항의 위헌 여부에 관한 주장으로 볼 수 없다.그 밖에 청구인은 면허정지조항의 독자적인 위헌성을 다투는 것으로 볼 수 있는 주장을 하고 있지 않으므로, 이 부분 심판청구는 부적법하다."
55321,전문,19,나.면허취소조항에 대한 심판청구
55321,전문,20,"법령에 대한 헌법소원은 법령시행과 동시에 기본권의 침해를 받게 되는 경우에는 그 법령이 시행된 사실을 안 날로부터 90일 이내에, 법령이 시행된 날로부터 1년 이내에 헌법소원을 청구하여야 하고, 법령이 시행된 뒤에 비로소 그 법령에 해당되는 사유가 발생하여 기본권의 침해를 받게 되는 경우에는 그 사유가 발생하였음을 안 날로부터 90일 이내에, 그 사유가 발생한 날로부터 1년 이내에 헌법소원을 청구하여야 한다(헌재 2003.9.25."
55321,전문,21,2001헌마93등 참조).
55321,전문,22,청구인은 2016.7.15.
55321,전문,23,"의료법 위반을 이유로 징역 10월에 집행유예 2년 등의 형이 확정되었으므로, 곧바로 면허취소조항에 따라 필요적으로 면허가 취소될 지위에 놓이게 되었다.보건복지부장관은 2016.12.14."
55321,전문,24,"면허취소조항을 근거로 이 사건 취소처분을 하였고 청구인에게 통보하였으므로, 청구인은 늦어도 이 사건 취소처분을 통보받았을 무렵에는 면허취소조항으로 인하여 기본권 제한의 사유가 발생하였다는 사실을 알았고 볼 수 있다.청구인은 그로부터 90일이 경과한 2017.5.30."
55321,전문,25,"이 사건 헌법소원심판을 청구하였으므로, 이 사건 심판청구는 청구기간을 도과하여 부적법하다."
55321,전문,26,3.결론
55321,전문,27,그렇다면 이 사건 심판청구는 부적법하므로 이를 각하하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다.
