결정례일련번호,구분,문장번호,내용
24895,전문,1,사건      2013헌마501 재판취소
24895,전문,2,청구인      이 ○ 화
24895,전문,3,[주문]
24895,전문,4,이 사건 심판청구를 각하한다.
24895,전문,5,[이유]
24895,전문,6,1.사건의 개요
24895,전문,7,가.청구인은 살인죄 등으로 2003.4.25.
24895,전문,8,"1심에서 징역 12년을 선고받고, 항소와 상고가 기각되어 수감 중인 수형자로서 2012.9.21."
24895,전문,9,"인신보호법에 따른 구제청구를 하였으나, 2012.9.27."
24895,전문,10,"기각되었고(창원지방법원 진주지원 2012인1), 이에 대하여 항고하였으나 2012.12.21."
24895,전문,11,"각하되었으며(창원지방법원 2012인라2), 2013.7.4."
24895,전문,12,재항고도 기각되었다(대법원 2013인마3).
24895,전문,13,나.이에 청구인은 2013.7.17.
24895,전문,14,위 결정들(이하 ‘이 사건 재판들’이라 한다)이 자신의 기본권을 침해한다고 주장하며 그 취소를 구하는 이 사건 헌법소원심판을 청구하였다.
24895,전문,15,2.판 단
24895,전문,16,"헌법재판소법 제68조 제1항 본문에 따르면, 원칙적으로 법원의 재판을 대상으로 하는 헌법소원심판청구는 허용되지 아니하고, 다만 헌법재판소가 위헌으로 결정한 법령을 적용함으로써 국민의 기본권을 침해한 재판에 대하여만 헌법재판소법 제68조 제1항에 의한 헌법소원심판을 청구할 수 있다(헌재 1997.12.24."
24895,전문,17,"96헌마172등, 판례집 9-2, 842, 862 참조)."
24895,전문,18,"살피건대, 청구인이 위헌확인을 구하고 있는 위 재판들은 법원의 재판에 해당하므로 원칙적으로 헌법소원의 대상이 되지 아니하고, 나아가 위 판결이 헌법재판소가 이미 위헌으로 결정한 법령을 적용함으로써 국민의 기본권을 침해하는 경우에 해당하지 않는다."
24895,전문,19,3.결 론
24895,전문,20,그렇다면 이 사건 심판청구는 부적법하므로 헌법재판소법 제72조 제3항 제1호 후단에 따라 이를 각하하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다.
24895,전문,21,2013.8.6.
