결정례일련번호,구분,문장번호,내용
185897,전문,1,【당 사 자】
185897,전문,2,사		건	2023헌마1080    기본권 침해 위헌확인
185897,전문,3,청	구	인	1.전○○
185897,전문,4,2.한○○○
185897,전문,5,결	정	일	2023.9.25.
185897,전문,6,【주 문】
185897,전문,7,이 사건 심판청구를 각하한다.【이 유】
185897,전문,8,1.사건개요
185897,전문,9,청구인 전○○○○은 청구인 한○○○의 아들이다.청구인 전○○○○은 2020.10.7.
185897,전문,10,"보험사기방지특별법위반죄로 징역 10월, 집행유예 2년형을 선고받았다(대전지방법원 천안지원 2020고단256 판결)."
185897,전문,11,청구인 전○○○은 항소하였으나 2022.4.7.
185897,전문,12,"항소가 기각되었고(대전○지방법원 2020노3385 판결), 청구인 전○○○의 상고 역시 2022.6.21."
185897,전문,13,기각되었다(대법원 2022도4529 결정).
185897,전문,14,청구인들은 2023.9.13.
185897,전문,15,위 판결들 및 결정이 부당하다고 주장하면서 이를 대상으로 하여 이 사건 헌법소원심판을 청구하였다.2.판단
185897,전문,16,"헌법재판소법 제68조 제1항 본문에 따라 원칙적으로 법원의 재판을 대상으로 하는 헌법소원심판청구는 허용되지 아니한다.다만, 헌법재판소가 위헌으로 결정한 법령을 적용하는 등 법률에 대한 위헌결정의 기속력에 반함으로써 국민의 기본권을 침해한 재판에 대해서는 헌법재판소법 제68조 제1항에 따른 헌법소원심판을 청구할 수 있다(헌재 1997.12.24."
185897,전문,17,96헌마172등; 헌재 2022.6.30.
185897,전문,18,2014헌마760등 참조).
185897,전문,19,청구인들이 다투는 법원의 판결들 및 결정은 법률에 대한 위헌결정의 기속력에 반하여 예외적으로 헌법소원심판의 대상이 되는 법원의 재판에 해당하지 않는다.따라서 이를 대상으로 하는  헌법소원심판청구는 허용될 수 없다.3.결론
185897,전문,20,"그렇다면 이 사건 심판청구는 부적법하므로 헌법재판소법 제72조 제3항 제1호 후단에 따라 이를 각하하기로 하여, 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다."
185897,전문,21,"재판장,유○,이○,이○"
