결정례일련번호,구분,문장번호,내용
170005,전문,1,사           건          2021헌마1338    대전광역시교육청행정심판위원회 재결 위헌확인
170005,전문,2,청    구    인          1.엄○○○
170005,전문,3,2.이○○○
170005,전문,4,3.엄□□
170005,전문,5,청구인들 대리인   법무법인 요수
170005,전문,6,"담당변호사 송○, 전○"
170005,전문,7,[주           문]
170005,전문,8,이 사건 심판청구를 각하한다.[이           유]
170005,전문,9,1.사건개요
170005,전문,10,가.청구인 엄○□□는 2019.1.30.
170005,전문,11,"당시 대전○○중학교(이○하 ‘○○중학교’라고 한다)2학년에 재학 중이○던 학생이○고, 청구인 엄○○○, 이○○○는 청구인 엄○□□의 부모이○다."
170005,전문,12,나.김○○○은 2019.1.30.
170005,전문,13,"당시 ○○중학교 3학년에 재학 중이었고, 2019.3.경 고등학교에 진학해 2020.2.경에는 서울○○고등학교(이하 ‘○○고등학교’라고만 한다)에 재학 중이었다."
170005,전문,14,다.청구인 엄○□□가 2019.1.30.
170005,전문,15,"SNS에 쓴 글과 관련해 황○○○○○과 갈등이 생겼고, 황○○○○○은 김○○○○○ 등 다수의 지인들과 함께 청구인 엄○○○□를 공터로 데려가 말다툼을 했다.청구인 엄○○○□와 황○○○○○이 말다툼만 하고 싸우지 않자, 김○○○○○은 둘을 싸우게 할 목적으로 싸우는 분위기를 조성하기 위해 강○○○○○를 불러냈다.연락을 받고 온 강○○○○○가 다른 학생들이 보는 앞에서 청구인 엄○○○□의 명치와 다리를 때리고 발로 얼굴을 걷어차 청구인 엄○○○□는 코뼈 골절 등 약 3주간의 치료가 필요한 상해를 입었다.이후 강○○○○○는 김○○○○○ 등이 있는 자리에서 청구인 엄○○○□에게 ‘신고하면 죽여버린다.신고하지 마라.신고하면 집 찾아간다’라고 협박하였다."
170005,전문,16,라.청구인 이○○○는 2019.1.31.
170005,전문,17,"○○중학교 교사에게 김○○○을 포함한 여러 학생들이 청구인 엄○□□에게 학교폭력을 가한 사실을 신고하였다.○○중학교장은 내부 논의를 거쳐, 수사결과가 나온 후에 학교폭력대책자치위원회(이하 ‘자치위원회’라고만 한다)를 개최하기로 결정하였다."
170005,전문,18,마.대전지방검찰청 검사가 2019.4.30.
170005,전문,19,김○○○에 대하여 기소유예 처분을 하였다.
170005,전문,20,바.○○중학교장은 2020.2.3.
170005,전문,21,김○○○○○ 등의 학교폭력 사건과 관련한 자치위원회를 소집하였다.○○중학교 자치위원회는 김○○○○○의 행위가 학교폭력에 해당한다고 인정하고 김○○○○○에게 구 학교폭력예방 및 대책에 관한 법률(2019.8.20.
170005,전문,22,법률 제16441호로 개정되어 2020.3.1.
170005,전문,23,"시행되기 전의 것, 이하 ‘구 학교폭력예방법’이라 한다)제17조 제1항 제1호의 서면사과, 제3호의 교내봉사 5일 및 특별교육 이수 1일, 학부모 특별교육 이수 4시간 조치를 의결하였다.이에 따라 ○○중학교장은 2020.2.25."
170005,전문,24,"김○○○에게 서면사과, 교내봉사 5일, 특별교육 이수 1일, 학부모 특별교육 이수 4시간의 처분(이하 ‘이 사건 처분’이라 한다)을 하였다."
170005,전문,25,"사.청구인 엄○○○, 이○○○는 ○○중학교장이○ 김○○○에게 한 이○ 사건 처분에 불복하여 2020.3.12."
170005,전문,26,대전광역시 학교폭력대책지역위원회(이하 ‘지역위원회’라고만 한다)에 재심을 청구하였다.
170005,전문,27,아.김○○○은 2020.5.21.
170005,전문,28,○○중학교장을 상대로 이 사건 처분의 취소를 구하는 행정심판을 제기하였다(대전행심위 제2020-12호).
170005,전문,29,자.대전광역시 지역위원회는 2020.6.18.
170005,전문,30,"청구인 엄○○, 이○○○가 청구한 재심을 받아들여, 김○○○에 대한 구 학교폭력예방법 제17조 제1항 제6호의 출석정지 5일 및 특별교육 이○수 3일, 보호자 특별교육 이○수 5시간 조치를 결정하였다."
170005,전문,31,"차.한편, 대전광역시교육청행정심판위원회는 2020.7.21."
170005,전문,32,"‘○○중학교장의 과실로 학교폭력이 발생한 때로부터 1년 이상 지난 시점에 자치위원회가 개최되었고, 자치위원회 개최 당시 김○○○이 ○○고등학교에 재학 중이었음에도 공동자치위원회가 개최되지 않은 채 처분 권한이 없는 ○○중학교장이 이 사건 처분을 하였으므로, 위 처분은 위법하다’는 이유로 이 사건 처분을 취소하는 재결(이하 ‘이 사건 재결’이라 한다)을 하였다."
170005,전문,33,"카.청구인 엄○○□□, 엄○○○○, 이○○○는 이○ 사건 재결에 대하여 2021.1.12."
170005,전문,34,"무효확인소송을 제기하였으나(대전지방법원 2021구합100204), 2021.10.7."
170005,전문,35,"기각판결을 받자, 이에 관하여 달리 항소하지 아니하였다."
170005,전문,36,"타.청구인 엄○□, 엄○○, 이○○○는 이○ 사건 재결이○ 적법절차 원칙에 따라 재판받을 권리, 재판절차진술권, 신뢰보호의 원칙을 침해한 것임을 주장하면서 그 취소를 구하는 취지로 2021.11.2."
170005,전문,37,이 사건 헌법소원심판을 청구하였다.
170005,전문,38,2.판단
170005,전문,39,"법원의 재판을 거쳐 확정된 행정처분에 대한 헌법소원심판은 당해 행정처분을 심판의 대상으로 삼았던 법원의 재판이 예외적으로 헌법소원심판의 대상이 되어 그 재판 자체가 취소되는 경우에 한하여 청구할 수 있는 것이고, 법원의 재판이 취소될 수 없는 경우에는 원행정처분에 대한 헌법소원심판청구는 허용되지 아니한다(헌재 1998.5.28."
170005,전문,40,91헌마98등 참조).
170005,전문,41,청구인들은 2021.1.12.
170005,전문,42,"이 사건 재결에 대하여 무효확인소송을 제기하였으나(대전지방법원 2021구합100204), 2021.10.7."
170005,전문,43,"기각판결을 받고 달리 항소하지 아니하여 확정되었는데, 위 기각판결은 예외적으로 헌법소원심판의 대상이 될 수 있는 재판에 해당하지 않으므로, 이 사건 재결에 대한 헌법소원심판청구는 허용되지 아니한다."
170005,전문,44,3.결론
170005,전문,45,"그렇다면 이 사건 심판청구는 부적법하므로 헌법재판소법 제72조 제3항 제4호에 따라 이를 각하하기로 하여, 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다."
