결정례일련번호,구분,문장번호,내용
47355,전문,1,사 건 2015헌마800 항고 금지 위헌확인 등
47355,전문,2,청 구 인 진 ○ 현
47355,전문,3,[주 문]
47355,전문,4,이 사건 심판청구를 각하한다.[이 유]
47355,전문,5,1.사건개요
47355,전문,6,청구인은 2015.5.3.
47355,전문,7,"국가보안법위반 등의 혐의로 체포된 뒤, 2015.5.4."
47355,전문,8,"체포적부심사를 청구하였으나 다음날 기각결정을 받았고, 2015.5.6."
47355,전문,9,"구속적부심사 청구를 하였지만 다음날 기각결정을 받았다.청구인은 검사, 피의자의 진술과 사건기록을 인용하여 구체적으로 체포ㆍ구속적부심사 기각의 이유를 기재하도록 규정하지 아니한 입법부작위와, 체포ㆍ구속적부심사 기각결정에 대해 항고하지 못하도록 한 형사소송법 제214조의2 제8항이 청구인의 기본권을 침해한다는 취지로 주장하며 2015.7.31."
47355,전문,10,이 사건 헌법소원심판을 청구하였다.
47355,전문,11,2.판단
47355,전문,12,가.입법부작위
47355,전문,13,"진정입법부작위에 대한 헌법소원은, 헌법에서 기본권보장을 위하여 법령에 명시적인 입법위임을 하였음에도 입법자가 이를 이행하지 아니한 경우이거나, 헌법해석상 특정인에게 구체적인 기본권이 생겨 이를 보장하기 위한 국가의 행위의무 내지 보호의무가 발생하였음이 명백함에도 불구하고 입법자가 아무런 입법조치를 취하지 아니한 경우에 한하여 허용된다(헌재 2010.10.28."
47355,전문,14,2008헌마332).
47355,전문,15,"헌법 제12조 제6항은 “누구든지 체포 또는 구속을 당한 때에는 적부의 심사를 법원에 청구할 권리를 가진다.”고 규정하고 있다.그러나 그 해석상 청구인이 주장하는 것과 같이 적부심사 기각 이유를 구체적으로 기재하도록 하는 내용의 입법을 하여 청구인의 기본권을 보호하여야 할 입법자의 행위의무 내지 보호의무가 발생하였다고 볼 수 없다.따라서 청구인이 주장하는 입법부작위는 헌법에서 법령에 명시적인 입법위임을 하였음에도 입법자가 이를 이행하지 아니한 경우이거나, 헌법해석상 국가의 행위의무 내지 보호의무가 발생하였음이 명백함에도 불구하고 입법자가 아무런 입법조치를 취하지 아니한 경우에 해당하지 아니하므로, 이 부분 심판청구는 부적법하다."
47355,전문,16,나.형사소송법 제214조의2 제8항
47355,전문,17,청구인은 2015.7.20.
47355,전문,18,"석방되었으므로, 체포ㆍ구속적부심사 기각결정에 대한 항고를 통해 체포ㆍ구속의 적부를 다툴 주관적 권리보호이익이 더 이상 인정되지 않아 이 부분 심판청구도 부적법하다."
47355,전문,19,3.결론
47355,전문,20,헌법재판소법 제72조 제3항 제4호에 따라 이를 각하하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다.
