결정례일련번호,구분,문장번호,내용
186477,전문,1,【당 사 자】
186477,전문,2,사		건	2023헌마1176    기본권 침해 위헌확인
186477,전문,3,청	구	인	진○○○
186477,전문,4,결	정	일	2023.10.24.
186477,전문,5,【주 문】
186477,전문,6,이 사건 심판청구를 각하한다.【이 유】
186477,전문,7,1.사건개요
186477,전문,8,청구인은 국회가 공소권 남용을 제한하는 입법권 행사를 하지 않으면서 공소권 남용을 이유로 2023.9.21.
186477,전문,9,"검사 탄핵소추를 의결한 행위가 청구인의 평등권을 침해한다고 주장하면서, 2023.10.11."
186477,전문,10,이 사건 헌법소원심판을 청구하였다.2.판단
186477,전문,11,"가.헌법재판소법 제68조 제1항에 의하면 헌법소원심판은 ‘공권력의 행사 또는 불행사로 인하여 기본권을 침해받은 자’가 청구하여야 한다.이 때 ‘공권력의 행사 또는 불행사로 인하여 기본권의 침해를 받은 자’라 함은 공권력의 행사 또는 불행사로 인하여 자기의 기본권이 현재 그리고 직접적으로 침해받은 경우를 의미하므로, 원칙적으로 공권력의 행사 또는 불행사의 직접적인 상대방만이 이에 해당한다고 할 것이고, 공권력의 작용에 단순히 간접적, 사실적 또는 경제적인 이해관계에 있을 뿐인 제3자는 이에 해당하지 않는다(헌재 1994.6.30."
186477,전문,12,92헌마61; 헌재 2015.4.30.
186477,전문,13,2012헌마38).
186477,전문,14,나.청구인은 국회가 공소권 남용을 제한하는 입법권 행사를 하지 않으면서 공소권 남용을 이유로 2023.9.21.
186477,전문,15,"검사 탄핵소추를 의결한 행위로 인하여 자신의 기본권이 침해되었다고 막연하게 주장하고 있을 뿐이고, 이 사건 기록상 이로 인하여 청구인의 기본권이 직접적으로 침해되었다는 구체적인 사정이 확인되지 아니하므로, 이 사건 심판청구는 기본권 침해의 자기관련성이 인정되지 아니한다.3.결론"
186477,전문,16,"그렇다면 이 사건 심판청구는 부적법하므로 헌법재판소법 제72조 제3항 제4호에 따라 이를 각하하기로 하여, 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다."
186477,전문,17,"재판장,정○,이○,문○"
