결정례일련번호,구분,문장번호,내용
11106,전문,1,기소유예처분취소
11106,전문,2,(전원재판부 2002.11.28.
11106,전문,3,2001헌마861)
11106,전문,4,【당 사 자】
11106,전문,5,청 구 인 1.윤 ○ 애
11106,전문,6,2.백 ○ 현
11106,전문,7,3.권 ○ 희
11106,전문,8,4.김 ○ 자
11106,전문,9,5.노 ○ 의
11106,전문,10,"위 청구인들의 대리인 변호사 조○, 박○"
11106,전문,11,피청구인 서울지방검찰청 검사
11106,전문,12,【주 문】
11106,전문,13,청구인들의 심판청구를 기각한다.
11106,전문,14,【이 유】
11106,전문,15,1.사건의 개요
11106,전문,16,"이 사건 기록과 증거자료(서울지방검찰청 2001년 형제58968호 불기소사건 기록)에 의하면 다음과 같은 사실이 인정된다.가.청구인들은 2001.5.12.경 서울 강남경찰서에 청구외(피고소인)김 ○ 태, 박 ○ 명과 함께 폭력행위등처벌에관한법률위반으로 입건되었는바, 그 피의사실의 요지는 다음과 같다.청구인들은 서울 강남구 ○○동 1차 아파트 재건축조합의 조합원들인바, 위 아파트 재건축사업 추진과 관련하여 신조합장인 청구외 김 ○ 선을 지지하면서 구조합장인 청구외 양 ○ 영을 지지하는 조합원들과 서로 갈등을 빚던 중,"
11106,전문,17,"(1)청구인 윤 ○ 애, 백 ○ 현, 권 ○ 희, 김 ○ 자는, 위 김 ○ 태, 박 ○ 명과 공동하여, 2001.3.22."
11106,전문,18,"14:00경 강남구청 주택과 사무실 앞에서 구조합장측을 지지하는 피해자 지 ○ 환이 신조합장측이 추진하는 재건축사업을 방해한다는 이유로 폭행하여 위 지 ○ 환에게 약 5주간의 치료를 요하는 경부 염좌상 등을 가하고,"
11106,전문,19,"(2)청구인 노 ○ 의는, 위 김 ○ 태와 공동하여, 같은 날 16:00경 위 강남구청 주택국장 사무실 앞에서 구조합장측을 지지하는 피해자 이 ○ 희가 위 지 ○ 환을 폭행한데 대하여 따진다는 이유로 폭행하여 위 이 ○ 희에게 약 4주간의 치료를 요하는 우측 견봉부 염좌상 등을 가하였다.나.위 사건을 수사한 피청구인은, 피의사실을 인정하는 한편, 청구인들은 가정주부들로서 초범이거나 기소유예처분을 받은 외에 동종 전과가 없고, 가담정도 경미하며, 동기에 고려할 점이 있고, 죄질이 중한 위 김 ○ 태, 박 ○ 명이 처벌을 받게 된 점 등의 참작할 사유가 있다는 이유로 2001.9.29."
11106,전문,20,청구인들에 대하여 모두 기소유예처분을 하였다.다.청구인들은 이에 불복하여 피청구인의 위 기소유예처분이 자의적인 검찰권 행사로서 청구인들의 헌법상 보장된 평등권등 기본권을 침해하였다는 이유로 2001.12.13.
11106,전문,21,위 기소유예처분의 취소를 구하는 이 사건 헌법소원심판을 청구하였다.
11106,전문,22,2.판단
11106,전문,23,"기록을 자세히 살펴보아도 피청구인의 위 기소유예처분은 정당하고, 피청구인이 이 사건에 관하여 현저히 정의와 형평에 반하는 수사를 하였다거나 헌법의 해석, 법률의 적용 또는 증거판단에 있어서 기소유예처분의 결정에 영향을 미친 중대한 잘못을 범하였다고 보여지지 아니하고, 달리 위 기소유예처분이 헌법재판소가 관여할 정도의 자의적인 처분이라고 볼 자료가 없으므로, 이로 말미암아 청구인들 주장의 기본권이 침해되었다고 볼 수 없다."
11106,전문,24,3.결론
11106,전문,25,따라서 청구인들의 심판청구는 이유 없으므로 이를 기각하기로 하여 관여재판관 전원의 일치된 의견으로 주문과 같이 결정한다.
11106,전문,26,2002.11.28.
11106,전문,27,재 판 장 재 판 관 윤 영 철
11106,전문,28,재판관 한○
11106,전문,29,재 판 관 하 경 철
11106,전문,30,재 판 관 김 영 일
11106,전문,31,재 판 관 권 성
11106,전문,32,재 판 관 김 경 일
11106,전문,33,주 심 재 판 관 송 인 준
11106,전문,34,재 판 관 주 선 회
