결정례일련번호,구분,문장번호,내용
151253,전문,1,사 건 2019헌마560 경범죄 처벌법 제3조 제1항 제11호 등 위헌확인
151253,전문,2,청 구 인 고○○○
151253,전문,3,[주 문]
151253,전문,4,이 사건 심판청구를 모두 각하한다.[이 유]
151253,전문,5,1.사건개요
151253,전문,6,가.청구인은 2016.5.4.
151253,전문,7,"20:25경 서울 영등포구(주소 생략)에서 경범죄 처벌법 제3조 제1항 제12호(노상방뇨 등)위반의 범칙행위로 통고처분을 받았고, 그 후 2016.9.7."
151253,전문,8,16:55경 서울 영등포구 (주소 생략)부근 광장에서 같은 법 제3조 제1항 제11호(쓰레기 등 투기)위반의 범칙행위로 통고처분을 받았다.
151253,전문,9,나.청구인은 2019.5.30.
151253,전문,10,"경범죄 처벌법 제3조 제1항 제11호, 제12호를 대상으로 이 사건 헌법소원심판을 청구하였다."
151253,전문,11,2.심판대상
151253,전문,12,이 사건의 심판대상은 경범죄 처벌법(2012.3.21.
151253,전문,13,법률 제11401호로 전부개정된 것)제3조 제1항 제11호 및 같은 항 제12호(이하 위 두 조항을 합하여 ‘심판대상조항’이라 한다)가 청구인의 기본권을 침해하는지 여부이다.심판대상조항은 다음과 같다.
151253,전문,14,[심판대상조항]
151253,전문,15,경범죄 처벌법(2012.3.21.
151253,전문,16,"법률 제11401호로 전부개정된 것)제3조(경범죄의 종류)① 다음 각 호의 어느 하나에 해당하는 사람은 10만원 이하의 벌금, 구류 또는 과료(科料)의 형으로 처벌한다.11.(쓰레기 등 투기)담배꽁초, 껌, 휴지, 쓰레기, 죽은 짐승, 그 밖의 더러운 물건이나 못쓰게 된 물건을 함부로 아무 곳에나 버린 사람"
151253,전문,17,"12.(노상방뇨 등)길, 공원, 그 밖에 여러 사람이 모이거나 다니는 곳에서 함부로 침을 뱉거나 대소변을 보거나 또는 그렇게 하도록 시키거나 개 등 짐승을 끌고 와서 대변을 보게 하고 이를 치우지 아니한 사람"
151253,전문,18,3.판단
151253,전문,19,"헌법재판소법 제68조 제1항에 따른 헌법소원의 심판은 그 사유가 있음을 안 날부터 90일 이내에, 그 사유가 있는 날부터 1년 이내에 청구하여야 한다(같은 법 제69조 제1항 본문)."
151253,전문,20,청구인이 2016.5.4.
151253,전문,21,"2○ 경범죄 처벌법 제3조 제1항 제12호(노상방뇨 등)위반의 범칙행위로, 2016.9.7."
151253,전문,22,"16:55경 같은 법 제3조 제1항 제11호(쓰레기 등 투기)위반의 범칙행위로 통고처분을 받은 사실은 앞서 본 바와 같다.그렇다면, 청구인이 위 경범죄 처벌법 위반 사실로 각 통고처분을 받은 2016.5.4.경 및 2016.9.7.경 심판대상조항에 의한 기본권 침해 사유가 발생하였고, 동시에 기본권 침해 사유 발생도 알게 되었다고 할 것인바, 청구인은 위 2016.5.4.경 및 2016.9.7.경으로부터 90일 및 1년을 도과하였음이 역수상 분명한 2019.5.30."
151253,전문,23,"이 사건 헌법소원을 청구하였으므로, 이 사건 심판청구는 청구기간을 도과하였다고 할 것이다."
151253,전문,24,4.결론
151253,전문,25,그렇다면 이 사건 심판청구는 모두 부적법하므로 이를 각하하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다.
