결정례일련번호,구분,문장번호,내용
24011,전문,1,사건      2013헌마368  재판취소
24011,전문,2,청구인      권 ○ 현
24011,전문,3,[주문]
24011,전문,4,이 사건 심판청구를 각하한다.
24011,전문,5,[이유]
24011,전문,6,1.사건의 개요
24011,전문,7,가.청구인은 2012.11.20.
24011,전문,8,"인천지방법원에 특정범죄가중처벌등에관한법률위반(절도)죄로 기소되었는데, 2013.4.10."
24011,전문,9,같은 법원에 무고죄로 병합 기소되어 2013.5.14.
24011,전문,10,"징역 7년의 형을 선고받았다{ 인천지방법원 2012고합1299, 2013고합211(병합)}."
24011,전문,11,"나.청구인은 위 재판 과정에서 담당 검사 및 변호인에 대한 증인신청이 불허되고 CCTV영상이 증거로 채택되자, 위 판결이 위헌적인 형사소송법조항(특정하지 아니함)에 기한 것이라고 주장하며 그 취소를 구하는 취지의 이 사건 헌법소원심판을 청구하였다."
24011,전문,12,2.판 단
24011,전문,13,"원칙적으로 법원의 재판을 대상으로 하는 헌법소원심판 청구는 허용되지 아니하고, 헌법재판소가 위헌으로 결정한 법령을 적용함으로써 국민의 기본권을 침해한 재판에 대하여만 헌법재판소법 제68조 제1항에 의한 헌법소원심판을 청구할 수 있는데, 위 재판은 헌법소원심판의 대상이 될 수 있는 예외적인 재판에 해당하지 아니하므로, 그 취소를 구하는 이 사건 심판청구는 부적법하다."
24011,전문,14,3.결 론
24011,전문,15,그렇다면 이 사건 심판청구는 부적법하므로 헌법재판소법 제72조 제3항 제1호 후단에 따라 이를 각하하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다.
24011,전문,16,2013.6.4.
