결정례일련번호,구분,문장번호,내용
16416,전문,1,사      건      2011헌마403  재판취소
16416,전문,2,청  구  인      이 ○ 기
16416,전문,3,주      문
16416,전문,4,이 사건 심판청구를 각하한다.
16416,전문,5,이      유
16416,전문,6,1.사건의 개요
16416,전문,7,"청구인은 청구외 박 ○ 래 외 2인을 피고로 하여 공증인증서원인무효의 소를 제기하였으나(창원지방법원 2003가합2284), 청구일부기각의 판결을 선고받았다.이에 청구인은 2011.7.21."
16416,전문,8,위 판결 중 패소 부분에 대한 취소를 구하는 이 사건 헌법소원심판을 청구하였다.
16416,전문,9,2.판 단
16416,전문,10,헌법재판소법 제68조 제1항의 헌법소원은 공권력의 행사 또는 불행사로 인하여 헌법상 보장된 기본권을 침해받은 자가 청구할 수 있으나 그것이 ‘법원의 재판’인 경우에는 헌법재판소가 위헌으로 결정한 법령을 적용함으로써 국민의 기본권을 침해하는 경우가 아닌 한 원칙적으로 헌법소원심판의 대상이 되지 아니한다(헌재 1998.7.16.
16416,전문,11,"95헌마77, 판례집 10-2, 267, 273 등)."
16416,전문,12,"살피건대, 청구인이 심판대상으로 구하고 있는 창원지방법원 2004.12.31."
16416,전문,13,"선고 2003가합2284 판결은 법원의 재판에 해당하므로 원칙적으로 헌법소원의 대상이 되지 아니하고, 나아가 위 판결이 헌법재판소가 이미 위헌으로 결정한 법령을 적용함으로써 국민의 기본권을 침해하는 경우에 해당한다고 보이지도 않는다."
16416,전문,14,3.결 론
16416,전문,15,그렇다면 이 사건 심판청구는 부적법하므로 헌법재판소법 제72조 제3항 제1호 후단에 따라 각하하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다.
16416,전문,16,2011.8.16.
