결정례일련번호,구분,문장번호,내용
19896,전문,1,사      건      2012헌마505  재판취소
19896,전문,2,청  구  인      최 ○ 숙
19896,전문,3,[주      문]
19896,전문,4,이 사건 심판청구를 각하한다.
19896,전문,5,[이      유]
19896,전문,6,1.사건의 개요
19896,전문,7,청구인은 재물손괴죄로 2011.9.27.
19896,전문,8,"벌금 70만 원을 선고받고(수원지방법원 안양지원 2011고정491), 항소하였으나 2011.12.1."
19896,전문,9,"기각되고(수원지방법원 2011노4362), 상고하였으나 2012.3.29."
19896,전문,10,"기각되자(대법원 2011도17356), 2012.5.31."
19896,전문,11,위 대법원 2011도17356 판결의 취소를 구하는 이 사건 헌법소원심판을 청구하였다.
19896,전문,12,2.판단
19896,전문,13,"헌법재판소법 제68조 제1항 본문에 의하면 원칙적으로 법원의 재판을 대상으로 하는 헌법소원심판청구는 허용되지 아니하고, 다만 헌법재판소가 위헌으로 결정한 법령을 적용함으로써 국민의 기본권을 침해한 재판에 대하여만 헌법재판소법 제68조 제1항에 의한 헌법소원심판을 청구할 수 있다(헌재 1997.12.24."
19896,전문,14,"96헌마172등, 판례집 9-2, 842, 862)."
19896,전문,15,"이 사건 심판청구는 법원의 재판을 대상으로 한 헌법소원으로서, 위 대법원 2011도17356 판결은 헌법재판소가 위헌으로 결정한 법령을 적용한 바 없음이 분명하여 예외적으로 헌법소원의 대상이 되는 법원의 재판에 해당하지 아니하므로, 이 사건 심판청구는 부적법하다."
19896,전문,16,3.결론
19896,전문,17,그렇다면 헌법재판소법 제72조 제3항 제1호에 의하여 이 사건 심판청구를 각하하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다.
19896,전문,18,2012.6.12.
