결정례일련번호,구분,문장번호,내용
166801,전문,1,사           건          2021헌마682    경범죄 처벌법 제3조 제1항 제19호 위헌확인
166801,전문,2,청    구    인          송○○○
166801,전문,3,[주           문]
166801,전문,4,이 사건 심판청구를 각하한다.[이           유]
166801,전문,5,1.사건개요
166801,전문,6,"청구인은 ‘경범죄 처벌법’ 제3조 제1항 제19호(청구인은 ‘제3조 제19항’이라고 기재하고 있으나, 이는 오기임이 명백하다)가 자신의 기본권을 침해한다고 주장하면서 2021.6.10."
166801,전문,7,그 위헌 확인을 구하는 이 사건 헌법소원심판을 청구하였다.
166801,전문,8,2.심판대상
166801,전문,9,"청구인은 문신 있는 사람의 기본권 침해를 주장하므로, 청구인의 주장과 관련된 부분으로 심판대상을 한정함이 타당하다.따라서 이 사건 심판대상은 ‘경범죄 처벌법’(2012.3.21."
166801,전문,10,법률 제11401호로 전부개정된 것)제3조 제1항 제19호 후단이 청구인의 기본권을 침해하는지 여부이다.심판대상조항은 다음과 같다.
166801,전문,11,[심판대상조항]
166801,전문,12,경범죄 처벌법(2012.3.21.
166801,전문,13,"법률 제11401호로 전부개정된 것)제3조(경범죄의 종류)① 다음 각 호의 어느 하나에 해당하는 사람은 10만원 이하의 벌금, 구류 또는 과료(科料)의 형으로 처벌한다.19.(불안감조성)정당한 이유 없이 길을 막거나 시비를 걸거나 주위에 모여들거나 뒤따르거나 몹시 거칠게 겁을 주는 말이나 행동으로 다른 사람을 불안하게 하거나 귀찮고 불쾌하게 한 사람 또는 여러 사람이 이용하거나 다니는 도로ㆍ공원 등 공공장소에서 고의로 험악한 문신(文身)을 드러내어 다른 사람에게 혐오감을 준 사람"
166801,전문,14,3.판단
166801,전문,15,"기본권 침해의 자기관련성이란 심판대상조항에 의하여 청구인의 기본권이 ‘침해될 가능성’이 있는가에 관한 것이고, 헌법소원은 주관적 기본권보장과 객관적 헌법보장 기능을 함께 가지고 있으므로 권리귀속에 대한 소명만으로써 자기관련성을 구비한 여부를 판단할 수 있다(헌재 1994.12.29."
166801,전문,16,89헌마2; 헌재 2001.11.29.
166801,전문,17,99헌마494 참조).
166801,전문,18,"심판대상조항은 공공장소에서 고의로 험악한 문신을 드러내어 다른 사람에게 혐오감을 준 사람을 처벌하는 조항인데, 청구인은 기본권 침해의 자기관련성이 있다는 점을 소명하라는 보정명령을 받고도 이에 응하지 않고 있다.따라서 이 사건 심판청구는 기본권 침해의 자기관련성을 인정할 수 없다."
166801,전문,19,4.결론
166801,전문,20,"이 사건 심판청구는 부적법하므로 헌법재판소법 제72조 제3항 제4호에 따라 이를 각하하기로 하여, 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다."
