결정례일련번호,구분,문장번호,내용
53325,전문,1,사○ 2016헌마1131 재판취소 등
53325,전문,2,청 구 인 권 ○ 자
53325,전문,3,[주 문]
53325,전문,4,이 사건 심판청구를 각하한다.[이 유]
53325,전문,5,1.사건개요
53325,전문,6,청구인은 2013.6.13.
53325,전문,7,"광주지방법원 순천지원에서 재물손괴죄로 선고유예를(2013고정154), 2014.6.11."
53325,전문,8,"같은 법원에서 상해죄로 벌금 50만원을 선고받았고(2014고정161), 항소와 상고가 기각되어 위 유죄판결들이 모두 확정되었다.청구인은 자신에 관한 형사판결이 모두 무고를 바탕으로 하였거나 편파적으로 이루어졌다는 등의 주장을 하며 2016.5.20."
53325,전문,9,"위 판결들의 취소를 구하는 취지의 헌법소원심판을 청구하였으나, 법원의 재판을 대상으로 한 헌법소원이라는 이유로 각하되었다(헌재 2016.6.2."
53325,전문,10,2016헌마397).
53325,전문,11,이에 청구인은 2016.6.9.
53325,전문,12,위 형사판결 및 2016헌마397 결정의 취소를 구하는 취지의 헌법소원심판을 청구하였으나(2016헌마465)이에 대하여 헌법재판소는 2016.6.21.
53325,전문,13,"심판청구가 일사부재리원칙에 위배되거나, 재심을 구하는 취지로 본다면 적법한 재심사유 주장을 하지 아니하고 있다는 이유로 심판청구를 각하하였다.청구인은 2016.12.27."
53325,전문,14,"다시 위 형사판결들의 위헌확인을 구하는 취지의 이 사건 헌법소원심판을 청구하였다(청구인은 권한쟁의심판을 청구한다고 주장하나, 청구인은 권한쟁의심판의 당사자가 될 수 없으므로, 이를 헌법소원심판청구로 선해함이 상당하다)."
53325,전문,15,2.판단
53325,전문,16,"헌법소원심판청구가 부적법하다고 하여 각하된 경우, 그 결정에서 판시한 요건의 흠결을 보정할 수 있는 때에 한하여 이를 보정한 후 다시 심판청구를 하는 것은 모르되, 이를 보완하지 아니한 채 동일한 내용의 심판청구를 되풀이하는 것은 허용되지 아니한다(헌재 2001.6.28."
53325,전문,17,98헌마485 참조).
53325,전문,18,"청구인은 이미 이 사건과 동일한 취지의 헌법소원심판을 청구하였다가 각하결정을 선고받았고, 위 결정에서 판시한 요건의 흠결은 성질상 보정할 수 있는 것이 아니다(2016헌마397, 2016헌마465)."
53325,전문,19,"따라서 이 사건 심판청구는 이미 심판을 거친 동일한 사건에 대하여 다시 심판청구를 한 것에 해당하므로 헌법재판소법 제39조의 일사부재리 원칙에 위배되어 부적법하다.가사 청구인의 주장을 헌법소원심판청구를 각하한 헌법재판소의 결정에 대하여 재심을 구하는 취지로 보더라도, 헌법재판소의 결정에 대하여 재심청구를 하기 위해서는 헌법재판소법 제40조에 의하여 준용되는 민사소송법 제451조 제1항 각 호의 사유 중 헌법소원심판에 대한 재심의 성질상 허용되는 사유를 재심청구의 이유로 주장하여야 하는데(헌재 2007.2.22."
53325,전문,20,"2006헌아50 참조), 청구인은 위 재심사유에 해당한다고 볼 만한 어떠한 주장도 하고 있지 아니하다."
53325,전문,21,3.결론
53325,전문,22,그렇다면 이 사건 심판청구는 부적법하므로 헌법재판소법 제72조 제3항 제4호에 따라 이를 각하하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다.
