결정례일련번호,구분,문장번호,내용
139956,전문,1,사      건      2009헌마600  재판취소
139956,전문,2,청  구  인      양 ○ 세
139956,전문,3,주           문
139956,전문,4,이 사건 심판청구를 각하한다.
139956,전문,5,이           유
139956,전문,6,1.사건의 개요
139956,전문,7,가.청구인은 2008.6.3.
139956,전문,8,"부산지방법원 2008고단873호 사기 사건에서 징역 10월을 선고받고(이하 ‘제1 원심판결’이라 한다), 2008.12.16."
139956,전문,9,"부산지방법원 2008고단3721, 3856(병합), 4085(병합)호 사기, 법무사법위반 사건에서 징역 1년 6월을 선고받아(이하 ‘제2 원심판결’이라 한다)이들 판결에 대해 모두 항소하였고, 항소심 법원은 2009.4.3."
139956,전문,10,"위 제1, 2 원심판결을 직권으로 파기하고 청구인을 제1 원심 판시 각 죄에 대하여 징역 10월에, 제2 원심 판시 각 죄에 대하여 징역 1년 6월에 각 처하는 내용의 판결을 하였다[부산지방법원 2008노2130, 4990(병합)]."
139956,전문,11,이에 청구인이 상고하였으나 2009.6.11.
139956,전문,12,"대법원(2009도3087호)에서 상고가 기각되어 판결이 확정되었다.나.청구인은 피해자 김 ○ 이, 신 ○ 철에 대한 범죄사실에 대한 무죄를 입증할 수 있는 새로운 증거가 있다는 이유로 재심을 청구하였으나, 부산지방법원은 2009.9.29."
139956,전문,13,"재심사유로 내세우고 있는 증거가 사건이 법원에 계속 중이던 당시 발견된 증거로 판결확정 전 소송절차에서 제출할 수 있었던 증거이며, 무죄를 인정할 만한 명백한 증거에도 해당하지 아니한다는 이유로 재심청구를 기각하였다(부산지방법원 2009재노11)."
139956,전문,14,다.이에 청구인은 2009.10.22.
139956,전문,15,위 부산지방법원 2009재노11 판결이 청구인의 기본권을 침해한다는 취지로 주장하면서 그 취소를 구하는 이 사건 헌법소원심판을 청구하였다.2.판단
139956,전문,16,"원칙적으로 법원의 재판을 대상으로 하는 헌법소원심판청구는 허용되지 아니하고, 다만 헌법재판소가 위헌으로 결정한 법령을 적용함으로써 국민의 기본권을 침해한 재판에 대하여만 헌법재판소법 제68조 제1항에 의한 헌법소원심판을 청구할 수 있다(헌재 1997.12.24."
139956,전문,17,96헌마172 등).
139956,전문,18,그런데 위 재판(부산지방법원 2009재노11)은 헌법소원심판의 대상이 되는 예외적인 재판에 해당되지 아니하므로 그 취소를 구하는 이 사건 심판청구는 부적법하다.3.결론
139956,전문,19,그렇다면 이 사건 심판청구는 다른 점에 더 나아가 살펴볼 필요 없이 부적법하므로 헌법재판소법 제72조 제3항 제1호 후단에 따라 이를 각하하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다.
139956,전문,20,2009.11.9.
139956,전문,21,재판장    재판관  이○      이○
139956,전문,22,──────
139956,전문,23,재판관  조○        조○
139956,전문,24,──────
139956,전문,25,재판관  김○        김○
139956,전문,26,──────
