결정례일련번호,구분,문장번호,내용
7014,전문,1,헌   법   재   판   소
7014,전문,2,결         정
7014,전문,3,사      건      2003헌마786     기소유예처분취소
7014,전문,4,청  구  인      김○
7014,전문,5,대리인  변호사  송○
7014,전문,6,피 청 구 인
7014,전문,7,서울중앙지방검찰청 검사
7014,전문,8,주           문
7014,전문,9,청구인의 심판청구를 기각한다.
7014,전문,10,이           유
7014,전문,11,1.사건의 개요
7014,전문,12,이 사건 기록과 증거자료{서울지방검찰청(2004.2.1.
7014,전문,13,‘서울중앙지방검찰청’으로 기관명 변경)2003년 형제58577호 불기소사건기록}에 의하면 다음과 같은 사실이 인정된다.가.청구인은 2003.6.18.
7014,전문,14,"청구외 김○으로부터 상해죄로 고소를 당하였는데, 그 피고소사실의 요지는 다음과 같다.청구인은, 2003.5.4."
7014,전문,15,15:00경 안성시 일죽면
7014,전문,16,○○
7014,전문,17,"리 567의 2 소재 위 김○의 집 앞 노상에서, 평소 위 김○과 청구인의 장인인 한○ 사이에 대지경계선 문제로 분란이 있던 터에, 위 한○의 자 한○이 대지경계선에 설치된 길이 1미터 가량의 철망펜스를 철거한 것을 두고 위 김○이 따진다는 이유로, 위 한○은 ‘이 개새끼야’라고 하면서 오른 주먹으로 위 김○의 얼굴 등을 수 회 때리고, 이에 가세하여 위 한○의 자 한○은 주먹으로 위 김○의 머리를 1회 때리고, 청구인은 위 김○의 팔을 잡아끄는 등으로 위 김○에게 약 3주간의 치료를 요하는 요추부염좌 등을 가하였다.나.피청구인은 2003.9.26."
7014,전문,18,위 피고소사건에 관하여 기소유예처분을 하였다.다.청구인은 2003.11.11.
7014,전문,19,피청구인의 위 기소유예처분으로 인하여 헌법상 보장된 청구인의 평등권과 재판절차상의 진술권을 침해받았다고 주장하며 위 기소유예처분의 취소를 구하는 이 사건 헌법소원심판을 청구하였다.2.판단
7014,전문,20,"기록을 자세히 살펴보아도 피청구인이 위 피의사건에 관하여 현저히 정의와 형평에 반하는 수사를 하였거나, 헌법의 해석, 법률의 적용 또는 증거판단에 있어서 기소유예처분의 결정에 영향을 미친 중대한 잘못이 있었다고 보이지 아니하며, 달리 피청구인의 위 기소유예처분이 헌법재판소가 관여할 정도의 자의적인 처분이라고 볼 자료도 없으므로 이로 말미암아 청구인 주장의 기본권이 침해되었다고 볼 수 없다.3.결론"
7014,전문,21,그렇다면 청구인의 심판청구는 이유 없으므로 이를 기각하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다.2005.2.3.
7014,전문,22,재 판 장       재 판 관       윤○ ____________________________
7014,전문,23,재 판 관       권○ ____________________________
7014,전문,24,재 판 관       김○ ____________________________
7014,전문,25,재 판 관       김○ ____________________________
7014,전문,26,재 판 관       송○ ____________________________
7014,전문,27,재 판 관       주○ ____________________________
7014,전문,28,주 심 재 판 관       전○ ____________________________
7014,전문,29,재 판 관       이○ ____________________________
