결정례일련번호,구분,문장번호,내용
833,전문,1,헌   법   재   판   소
833,전문,2,결         정
833,전문,3,사      건      2001헌사370    기피신청
833,전문,4,신  청  인      예 ○ 해
833,전문,5,본안사
833,전문,6,건      2001헌마375 불기소처분취소
833,전문,7,주           문
833,전문,8,이 사건 신청을 기각한다.이           유
833,전문,9,"1.이 사건 신청이유의 요지는, 위 본안사건은 부산고등법원 1989.6.1."
833,전문,10,"선고 88나1707 토지소유권이전등기말소등 사건을 기초로 하는바, 재판관 윤○은 위 사건에 대한 상고허가신청기각결정(대법원 1989.9.29."
833,전문,11,"선고 89다카18754)에 직접 관여하였을 뿐만 아니라, 위 사건이 전제가 되어 신청인이 이미 헌법재판소에 청구한 2000헌마484 불기소처분취소, 2000헌마518 불기소처분취소, 2001헌바15 형법 제231조등 위헌소원, 2001헌바21 형법 제231조등 위헌소원, 2001헌바71(2000헌바71 형법 제234조 위헌소원등의 오기인 듯하다), 2001헌마56 불기소처분취소 등 사건 등에 재판장으로 관여하여 모두 기각 또는 각하결정을 하였으므로 위 본안사건에서도 재판관 윤○로부터는 공정한 심판을 기대할 수 없다 할 것이고, 이는 헌법재판소법 제24조 제1항 제5호, 제3항의 사유에 해당하므로 이 사건 기피신청을 한다는 것이다.2.살피건대, 신청인이 주장하는 헌법재판소법 제24조 제1항 제5호는 “재판관이 헌법재판소 외에서 직무상 또는 직업상의 이유로 사건에 관여하였던 경우”를 말하는 것으로 재판관 윤○이 위 본안사건에서 취소를 구하고 있는 불기소사건이 아닌 민사사건에 대한 상고허가신청기각결정에 관여한 일이 있다거나, 위 헌법소원 사건들에 재판장으로 관여하였다는 사유는 이에 해당하지 아니하고, 위 헌법소원 사건들에 재판장으로 관여하여 모두 기각 또는 각하결정을 하였다는 사유만으로는 본안사건의 심판에 있어서 헌법재판소법 제24조 제3항 소정의 심판의 공정을 기대하기 어려운 사정이 있다고 볼 수 없다.3.따라서 이 사건 기피신청은 이유 없으므로 이를 기각하기로 하여 관여재판관 전원의 일치된 의견으로 주문과 같이 결정한다.2001.9.27."
833,전문,12,재 판 장       재 판 관       한   대   현 ____________________________
833,전문,13,재 판 관       하   경   철 ____________________________
833,전문,14,재 판 관       김   영   일 ____________________________
833,전문,15,재 판 관       권        성 ____________________________
833,전문,16,재 판 관       김   효   종 ____________________________
833,전문,17,재 판 관       김   경   일 ____________________________
833,전문,18,주 심  재 판 관       송   인   준 ____________________________
833,전문,19,재 판 관       주   선   회 ____________________________
