결정례일련번호,구분,문장번호,내용
134947,판시사항,1,가.법령(法令)에 대한 헌법소원(憲法訴願)에 있어서 헌법재판소법(憲法裁判所法) 제69조 제1항의 “사유(事由)가 발생한 날”의 의미
134947,판시사항,2,나.헌법소원심판의 사유(事由)를 안 날로부터 60일이 지난 뒤에 제기된 헌법소원심판청구(憲法訴願審判請求)의 적법(適法) 여부
134947,결정요지,3,"가.헌법재판소법 제69조 제1항의 “사유(事由)가 발생한 날”이라는 것은, 법령(法令)이 시행된 뒤에 비로소 그 법령(法令)에 해당되는 사유(事由)가 발생하여 기본권(基本權)의 침해(侵害)를 받게 된 자가 당해 법령(法令)에 대하여 헌법소원의 심판을 청구하는 경우에는, 당해 법령(法令)이 청구인의 기본권(基本權)을 명백히 구체적으로 현실(現實) 침해(侵害)하였거나 그 침해(侵害)가 확실히 예상(豫想)되는 등 실체적(實體的) 제요건(諸要件)이 성숙하여 헌법판단(憲法判斷)에 적합하게 된 때를 말한다.나.청구인(請求人)이 헌법소원심판의 사유(事由)를 안 날로부터 60일이 지난 뒤에 제기된 헌법소원심판청구는 청구기간(請求期間)이 도과한 것으로서 부적법하다."
134947,전문,4,【당  사  자】
134947,전문,5,청 구 인      신 ○ 희
134947,전문,6,대리인   변호사   이  영  구 (국선)피청구인      건설부 장관
134947,전문,7,【주     문】
134947,전문,8,이 사건 헌법소원심판청구를 각하한다.【이     유】
134947,전문,9,1.사건의 개요
134947,전문,10,이 사건 기록에 의하면 아래와 같은 사실이 인정된다.가.청구인은 1984.2.20.
134947,전문,11,"한국주택은행의 청약저축에 가입하였고, 이에 근거하여 1990.4.24."
134947,전문,12,대한주택공사가 한 창○(번○)지구 주택분양에 분양신청서를 접수시켰다.
134947,전문,13,나.그러나 대한주택공사는 한국주택은행으로부터 청구인이 1988.1.26.
134947,전문,14,시영 신월지구 아파트에 특별공급대상자로 당첨된 사실이 통보되었다는 이유로 1990.5.8.
134947,전문,15,주택공급에관한규칙 제17조 제3항에 의거하여 청구인의 분양신청접수를 취소하였다.
134947,전문,16,다.이에 청구인은 주택공급에관한규칙 제17조 제3항 및 그 적용범위에 관하여 규정하고 있는 같은 규칙 제3조가 헌법이 청구인에게 보장하고 있는 재산권을 침해하고 있다고 하여 1990.8.29.
134947,전문,17,이 사건 헌법소원심판을 청구하였다.
134947,전문,18,2.심판의 대상
134947,전문,19,이 사건 헌법소원심판의 대상은 주택공급에관한규칙(1984.11.28.
134947,전문,20,"건설부령 제377호) 제17조 제3항이고, 그 내용은 다음과 같다.“주택은행은 국민주택의 입주자로 선정된 자가 10년 이내에 1회 이상, 민영주택의 입주자로 선정된 자가 5년 이내에 1회 이상 국민주택 또는 민영주택의 입주자로 당첨된 사실이 있는 것을 발견한 때에는 지체 없이 사업주체에게 그 사실을 통보하여야 하며, 이를 통보받은 사업주체는 다음 각호의 1에 해당하는 경우와 건설부장관이 주택공급을 촉진하기 위하여 특히 필요하다고 인정하는 경우를 제외하고는 입주자 선정이나 공급계약을 취소하여야 한다.1.제13조의 규정에 의한 제3순위자로 당첨된 경우"
134947,전문,21,2.입주자 모집 후 신청자가 공급세대수에 미달함으로써 발생된 미공급주택의 공급에서 당첨된 경우”
134947,전문,22,3.판단
134947,전문,23,"헌법재판소법 제69조 제1항에 의하면, 헌법소원의 심판은 그 사유가 발생하였음을 안 날로부터 60일 이내에, 그 사유가 발생한 날로부터 180일 이내에 헌법소원을 청구하여야 한다.여기에서 “사유가 발생한 날”이라는 것은, 법령이 시행된 뒤에 비로소 그 법령에 해당되는 사유가 발생하여 기본권의 침해를 받게 된 자가 당해 법령에 대하여 헌법소원의 심판을 청구하는 경우에는, 당해 법령이 청구인의 기본권을 명백히 구체적으로 현실 침해하였거나 그 침해가 확실히 예상되는 등 실체적 제요건이 성숙하여 헌법판단에 적합하게 된 때를 말한다(당재판소 1990.6.25."
134947,전문,24,"선고, 89헌마220 결정; 1990.10.8."
134947,전문,25,"선고, 89헌마89 결정 등 참조)."
134947,전문,26,대한주택공사는 1990.5.8.
134947,전문,27,"위 규칙 제17조 제3항에 따라 청구인의 분양신청접수를 취소하고 같은 날 청구인에게 이를 통지하여 그 즈음 청구인이 이를 수령한 사실이 인정된다.그렇다면, 위 규칙 제17조 제3항에 대한 이 사건 헌법소원심판의 사유는 1990.5.8."
134947,전문,28,"발생하였고, 그 즈음 청구인이 이를 알았다고 볼 것이다.따라서, 1990.8.29."
134947,전문,29,비로소 청구된 이 사건 헌법소원심판은 청구인이 그 사유를 안 날로부터 60일이 훨씬 지난 뒤에 청구된 것임이 계산상 명백하므로 이 사건 헌법소원심판청구는 청구기간이 도과한 것으로서 부적법하다 할 것이다.그러므로 이 사건 헌법소원심판청구는 이를 각하하기로 하여 재판관 전원의 의견일치에 따라 주문과 같이 결정한다.
134947,전문,30,재판장      재판관 조○
134947,전문,31,재판관 변○
134947,전문,32,재판관 김○
134947,전문,33,재판관 한○
134947,전문,34,재판관 이○
134947,전문,35,재판관 최○
134947,전문,36,재판관 김○
134947,전문,37,재판관 김○
134947,전문,38,재판관 황○
