결정례일련번호,구분,문장번호,내용
14128,전문,1,사      건      2010헌마436  형사소송법 제421조 제1항 등 위헌확인
14128,전문,2,청  구  인      정 ○ 영
14128,전문,3,주           문
14128,전문,4,이 사건 심판청구를 각하한다.
14128,전문,5,이           유
14128,전문,6,1.사건의 개요
14128,전문,7,가.청구인은 무고죄로 기소되어 2001.9.27.
14128,전문,8,"전주지방법원 군산지원에서 벌금 100만원을 선고받고(2000고단1190), 항소 및 상고하였으나 모두 기각되어 2002.9.6."
14128,전문,9,"그 형이 확정되었다(전주지방법원 2001노1475, 대법원 2002도3683)."
14128,전문,10,그런데 위 무고 재판에서 증인으로 출석하여 진술하였던 청구외 김 ○ 남이 일부 허위증언을 하였다는 범죄사실로 벌금 300만원의 약식명령을 받아 2004.5.22.
14128,전문,11,"확정되자(전주지방법원 2004고약1851), 청구인은 무고판결(전주지방법원 군산지원 2000고단1190)에 대하여 재심 청구를 하였으나 기각되었고(전주지방법원 군산지원 2004.8.31."
14128,전문,12,"선고 2004재고단2), 항고(전주지방법원 2004로18)및 재항고(대법원 2005모1)도 모두 기각되었다."
14128,전문,13,"나.한편, 청구인은 전주지방검찰청 군산지청에 위 무고판결로 인한 청구인의 전과기록을 삭제해 달라는 취지의 진정을 두 차례에 걸쳐 하였으나 모두 받아들여지지 않자(전주지방검찰청 군산지청 2008진정제87호, 2009.4.24."
14128,전문,14,"2009진정제22호), 2009진정제22호 진정사건처분에 대해 그 취소를 구하는 행정소송을 제기하였으나 2009.11.10."
14128,전문,15,각하되었다(전주지방법원 2009구합1263).
14128,전문,16,"다.이에 청구인은 ① ‘형의 실효 등에 관한 법률’ 제8조의2 제1항이 수사경력자료의 삭제조건을 한정하는 것과 ② 형사소송법 제421조 제1항이 재심사유를 한정하고 있는 것은 청구인의 기본권을 침해하여 헌법에 위반된다고 주장하며, 2010.7.15."
14128,전문,17,위 조항들의 위헌확인을 구하는 이 사건 헌법소원심판을 청구하였다.
14128,전문,18,2.심판대상
14128,전문,19,"청구인이 주장하는 심판대상 중 형사소송법 제421조 제1항 부분은 항소 또는 상고의 기각판결이 재심대상인 경우에 적용되고, 청구인과 같이 무고재판의 1심 판결을 재심대상으로 하여 재심청구를 하는 경우에는 형사소송법 제420조가 적용된다고 할 것이므로, 이 부분 심판대상조항은 형사소송법 제420조로 변경함이 상당하다.그렇다면 이 사건 심판대상은 ‘형의 실효 등에 관한 법률’ 제8조의2 제1항 및 형사소송법 제420조가 청구인의 기본권을 침해하여 헌법에 위반되는지 여부에 있다고 할 것이다."
14128,전문,20,3.판 단
14128,전문,21,"가.헌법재판소법 제68조 제1항에 의한 헌법소원의 심판은 기본권의 침해사유가 있음을 안 날로부터 90일 이내에, 그 사유가 있은 날로부터 1년 이내에 청구하여야 하며(헌법재판소법 제69조 제1항), 법령에 대한 헌법소원은 그 법률의 시행과 동시에 기본권의 침해를 받게 되는 경우에는 그 법률이 시행된 사실을 안 날부터 90일 이내에, 법률이 시행된 날부터 1년 이내에 헌법소원을 청구하여야 하고, 법령이 시행된 뒤에 비로소 그 법령에 해당되는 사유가 발생하여 기본권의 침해를 받게 되는 경우에는 그 사유가 발생하였음을 안 날로부터 90일 이내에, 그 사유가 발생한 날로부터 1년 이내에 헌법소원을 청구하여야 한다(헌재 2003.9.25."
14128,전문,22,"2001헌마93등, 판례집 15-2상, 350)."
14128,전문,23,"나.‘형의 실효 등에 관한 법률’ 제8조의2 제1항 부분에 관하여 보건대, 청구인은 늦어도 수사경력자료를 삭제해달라는 진정에 대하여 전주지방검찰청 군산지청으로부터 진정사건처분통지(전주지방검찰청 군산지청 2009년 진정 제22호)를 송달받은 2009.5.8."
14128,전문,24,"무렵에는 위 법률조항에 의한 기본권 침해사실을 알았다고 봄이 상당하므로, 그로부터 90일이 훨씬 지난 2010.7.15.에야 청구한 이 부분 심판청구는 청구기간을 도과하였다.또한 형사소송법 제420조 부분에 관하여 보건대, 청구인은 늦어도 재심사유에 해당하지 않는다는 이유로 재심기각결정(전주지방법원 2004로18)이 선고된 2004.12.23."
14128,전문,25,"무렵에는 위 법률조항에 의한 기본권 침해사실을 알았다고 봄이 상당하므로, 그로부터 90일이 훨씬 경과한 2010.7.15.에야 청구한 이 부분 심판청구 역시 청구기간을 도과하였다."
14128,전문,26,4.결 론
14128,전문,27,"그렇다면 이 사건 심판청구는 청구기간을 도과하여 부적법하므로, 헌법재판소법 제72조 제3항 제2호에 따라 이를 각하하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다."
14128,전문,28,2010.8.17.
