결정례일련번호,구분,문장번호,내용
7760,전문,1,헌 법 재 판 소 결 정
7760,전문,2,사 건 2006헌마34 기소유예처분취소
7760,전문,3,청 구 인 주 ○ 한
7760,전문,4,국선대리인 변호사 이 상 건
7760,전문,5,피 청 구 인서울중앙지방검찰청 검사
7760,전문,6,주 문
7760,전문,7,청구인의 심판청구를 기각한다.이 유
7760,전문,8,1.사건의 개요
7760,전문,9,"이 사건 기록과 증거자료(서울중앙지방검찰청 2005년 형제128700호 불기소사건 기록)에 의하면 다음과 같은 사실이 인정된다.가.청구인은 폭력행위등처벌에관한법률위반(야간ㆍ공동상해)으로 입건되었는 바, 그 피의사실 요지는 다음과 같다.청구인은 대학생인 자인 바,"
7760,전문,10,2004.11.7.
7760,전문,11,"04:00경 서울 종로구 명륜3가 32 앞 노상에서 청구외 최 ○ 강이 청구인이 애인을 껴안고 있는 것을 보고 청구인에게 시비를 걸면서 손바닥으로 청구인의 뺨을 때리고 군인인 청구외 성 ○ 진과 합세하여 주먹과 발로 청구인을 수회 때리자, 이에 대항하여 최 ○ 강과 성 ○ 진의 멱살을 잡고 주먹과 발로 때리는 등으로 최 ○ 강의 왼쪽 입술이 붓게 하고, 성 ○ 진의 입술 안쪽이 찢어지게 하는 치료일수 미상의 상해를 가한 것이다.나.이 사건을 수사한 피청구인은 피의사실은 인정되나, 청구인이 초범이고 상대방이 먼저 청구인을 때려 사건이 벌어진 점, 피해자들이 처벌을 원하는 아니하는 점 등을 이유로 2005.2.28."
7760,전문,12,"청구인에 대하여 기소유예처분을 하였으며, 청구인은 이에 불복하여 2005.5.25."
7760,전문,13,국선대리인선임신청을 한 다음 2006.1.9.
7760,전문,14,이 사건 헌법소원심판을 청구하였다.2.판단
7760,전문,15,"기록을 자세히 살펴보아도 피청구인이 위 사건에 관하여 현저히 정의와 형평에 반하는 수사를 하였거나, 헌법의 해석, 법률의 적용 또는 증거판단에 있어서 기소유예처분의 결정에 영향을 미친 중대한 잘못이 있었다고 보이지 아니하며, 달리 피청구인의 위 기소유예처분이 헌법재판소가 관여할 정도의 자의적 처분이라고 볼 자료도 없으므로 이로 말미암아 청구인 주장의 기본권이 침해되었다고 볼 수 없다.3.결론"
7760,전문,16,따라서 청구인의 심판청구는 이유 없으므로 이를 기각하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다.2006.4.27.
7760,전문,17,재 판 장 재 판 관 윤 영 철
7760,전문,18,재 판 관 권 성
7760,전문,19,재 판 관 김 경 일
7760,전문,20,주 심 재 판 관 송 인 준
7760,전문,21,재 판 관 주 선 회
7760,전문,22,재 판 관 전 효 숙
7760,전문,23,재 판 관 이 공 현
7760,전문,24,재 판 관 조 대 현
