결정례일련번호,구분,문장번호,내용
48605,전문,1,사 건 2015헌마1138 기본권 침해 위헌확인
48605,전문,2,청 구 인 김 ○ 일
48605,전문,3,[주 문]
48605,전문,4,이 사건 심판청구를 각하한다.[이 유]
48605,전문,5,1.사건개요
48605,전문,6,가.청구인은 2014.2.11.
48605,전문,7,"창원지방법원 진주지원에서 상해 및 재물손괴죄로 징역 6월, 집행유예 2년 및 보호관찰명령을 선고받았다(2013고정552)."
48605,전문,8,나.청구인은 위 사건의 수사 및 재판과정에서 위법한 공권력 행사로 기본권을 침해받았다고 주장하며 2015.12.8.
48605,전문,9,이 사건 헌법소원심판청구를 하였다.
48605,전문,10,2.판단
48605,전문,11,"공권력의 행사 또는 불행사로 인하여 헌법상 보장된 기본권을 침해받은 자는 법원의 재판을 제외하고는 헌법재판소에 헌법소원심판을 청구할 수 있다.다만, 다른 법률에 구제절차가 있는 경우에는 그 절차를 모두 거친 후에 청구할 수 있다(헌법재판소법 제68조 제1항)."
48605,전문,12,"살피건대, 청구인의 주장취지가 명백하지 않지만 이 사건 심판청구는 위 2013고정552 판결을 다투는 것으로 이해되는바, 원칙적으로 법원의 재판을 대상으로 하는 헌법소원심판청구는 허용되지 아니하고, 다만 헌법재판소가 위헌으로 결정한 법령을 적용함으로써 국민의 기본권을 침해한 재판에 대하여만 헌법재판소법 제68조 제1항에 의한 헌법소원심판을 청구할 수 있는데(헌재 1997.12.24."
48605,전문,13,"96헌마172등 참조), 청구인이 다투는 위 2013고정552 판결은 위에서 본 헌법소원심판의 대상이 되는 예외적인 재판에 해당되지 아니함이 분명하다."
48605,전문,14,3.결론
48605,전문,15,그렇다면 헌법재판소법 제72조 제3항 제1호에 따라 이 사건 심판청구를 각하하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다.
