결정례일련번호,구분,문장번호,내용
52664,전문,1,사  건○ 2016헌바321    소득세법 제97조 제1항 제3호 위헌소원
52664,전문,2,청 구 인 하 ○ 문
52664,전문,3,대리인   법무법인 한동
52664,전문,4,"담당변호사 이○, 박○"
52664,전문,5,당 해 사 건 대법원 2016두37935 양도소득세부과처분취소
52664,전문,6,[주           문]
52664,전문,7,소득세법(2009.12.31.
52664,전문,8,법률 제9897호로 개정된 것)제97조 제1항 제3호는 헌법에 위반되지 아니한다.
52664,전문,9,[이           유]
52664,전문,10,1.사건개요
52664,전문,11,가.청구인은 2014.1.23.
52664,전문,12,"○○농업협동조합에게 청구인 소유의 전남 영암군 ○○면 ○○리 ○○ 대 661㎡ 및 그 지상 건물(이하 ‘이 사건 각 부동산’이라 한다)을 매매대금 5억 7,000만 원(계약금 1억 원)에 매매하기로 하는 내용의 매매계약(이하 ‘선행 매매계약’이라 한다)을 체결하였다.나.청구인은 2014.2.경 선행 매매계약을 해제한 후, 2014.2.6."
52664,전문,13,"영암축산업협동조합(이하 ‘영암축협’이라 한다)에게 이 사건 각 부동산을 매매대금 7억 4,000만 원에 매매하기로 하는 내용의 매매계약(이하 ‘이 사건 매매계약’이라 한다)을 체결하고, 같은 날 영암축협에게 이 사건 각 부동산에 관하여 소유권이전등기를 마쳐주었다.한편, 이 사건 매매계약에는 ‘본 매매에 관하여 매수인이 선행 매매계약에 관한 위약금 1억 원을 계상하여 본 매매대금에 포함하여 지급되므로 본 매매와 관련된 양도소득세 중 매매대금 6억 4천만 원에 대하여는 매도인이 부담하고 1억 원의 초과지급으로 인해 발생되는 양도소득세는 매수인이 부담하기로 한다.’는 특약사항이 있었다.다.청구인은 2014.2.17."
52664,전문,14,"전남 신안군 □□면 □□리 □□ 토지 2,230㎡(이하 ‘신안군 토지’라 한다)를 양도한 후, 2014.4.30."
52664,전문,15,"나주세무서장에게 이 사건 각 부동산의 양도가액을 7억 4,000만 원으로 계산하여 이 사건 각 부동산 및 신안군 토지에 대한 양도소득세 예정신고를 하였다.그러나 나주세무서장은 매수인 영암축협이 부담하기로 한 선행 매매계약 해제에 따른 위약금(1억 원, 이하 ‘이 사건 위약금’이라 한다)부분에 대한 양도소득세 2,600만 원을 이 사건 각 부동산의 양도가액에 가산하고, 신안군 토지의 양도가액 및 취득가액을 재계산한 후, 2014.9.1."
52664,전문,16,"청구인에게 양도소득세 108,365,790원(가산세 포함)을 경정ㆍ고지(이하 ‘이 사건 처분’이라 한다)하였다.라.이에 청구인은 이 사건 처분의 취소를 구하는 소를 제기하였으나 기각되었고(광주지방법원 2015구합936), 이후 항소(광주고등법원 2015누7073)및 상고(대법원 2016두37935)역시 모두 기각되었다.청구인은 위 상고심 계속 중 이 사건 위약금과 같이 과세대상인 양도행위 이전에 한 별도의 매매계약 해제를 위해 지출한 위약금을 필요경비로 규정하고 있지 아니한 소득세법 제97조 제1항 제3호에 대해 위헌법률심판제청신청을 하였으나 2016.7.14."
52664,전문,17,"기각되자(대법원 2016아32),  2016.8.24."
52664,전문,18,이 사건 헌법소원심판을 청구하였다.2.심판대상
52664,전문,19,이 사건 심판대상은 소득세법(2009.12.31.
52664,전문,20,법률 제9897호로 개정된 것)제97조 제1항 제3호(이하 ‘심판대상조항’이라 한다)가 헌법에 위반되는지 여부이다.심판대상조항 및 관련조항의 내용은 다음과 같다.[심판대상조항]
52664,전문,21,소득세법(2009.12.31.
52664,전문,22,법률 제9897호로 개정된 것)제97조(양도소득의 필요경비 계산)① 거주자의 양도차익을 계산할 때 양도가액에서 공제할 필요경비는 다음 각 호에서 규정하는 것으로 한다.3.양도비 등으로서 대통령령으로 정하는 것
52664,전문,23,[관련조항]
52664,전문,24,소득세법 시행령(2010.2.18.
52664,전문,25,대통령령 제22034호로 개정된 것)제163조(양도자산의 필요경비)⑤ 법 제97조 제1항 제3호에서 “대통령령으로 정하는 것”이란 다음 각 호의 어느 하나에 해당하는 것을 말한다.1.법 제94조 제1항 각 호의 자산을 양도하기 위하여 직접 지출한 비용으로서 다음 각 목의 비용
52664,전문,26,가.「증권거래세법」에 따라 납부한 증권거래세
52664,전문,27,나.양도소득세과세표준 신고서 작성비용 및 계약서 작성비용
52664,전문,28,"다.공증비용, 인지대 및 소개비"
52664,전문,29,라.가목부터 다목까지의 비용과 유사한 비용으로서 기획재정부령으로 정하는 비용
52664,전문,30,2.법 제94조 제1항 제1호의 자산을 취득함에 있어서 법령 등의 규정에 따라 매입한 국민주택채권 및 토지개발채권을 만기 전에 양도함으로써 발생하는 매각차손.이 경우 기획재정부령으로 정하는 금융기관(이하 이 호에서 “금융기관”이라 한다)외의 자에게 양도한 경우에는 동일한 날에 금융기관에 양도하였을 경우 발생하는 매각차손을 한도로 한다.3.청구인의 주장
52664,전문,31,"심판대상조항은 양도차익을 계산할 때 양도가액에서 공제하는 필요경비 중 하나로 ‘양도비 등으로서 대통령령으로 정하는 것’을 들고 있는데, 이는 양도비의 범위를 하위 법령에 포괄적으로 위임하여 그 위임에 따른 소득세법 시행령 제163조 제5항 제1호 각목에 해당하지 않으면 그와 본질적으로 차이가 없는 비용이라도 필요경비로 공제될 수 없게 되므로, 포괄위임금지원칙 및 조세평등주의에 위배되고 재산권을 침해한다.4.판단"
52664,전문,32,가.헌법재판소 선례
52664,전문,33,헌법재판소는 2010.7.29.
52664,전문,34,2009헌바192 사건에서 심판대상조항과 내용이 같은 구 소득세법(2000.12.29.
52664,전문,35,"법률 제6292호로 개정되고, 2009.12.31."
52664,전문,36,"법률 제9897호로 개정되기 전의 것)제97조 제1항 제4호(이하 ‘구법조항’이라 한다)가 포괄위임금지원칙 등에 위배되지 아니한다고 판단하였는바, 그 결정의 요지는 다음과 같다.『양도가액에서 공제되어야 할 필요경비는 양도자산의 종류, 양도 경위 및 방법 등에 따라 다양할 수밖에 없으므로 국회가 이를 모두 예상하여 형식적 의미의 법률로 규정한다는 것은 기대하기 어렵고, 경우에 따라 경제현실의 변화에 즉시 대응하여야 할 필요성이 많은 영역이므로 행정입법인 대통령령에 위임할 필요가 있다.구 소득세법 제88조에 규정된 ‘양도’의 정의 및 양도비의 문언적 의미에 의하면, 양도비란 자산을 양도하기 위하여 지출한 비용을 의미하는 것으로 충분히 파악할 수 있고, 필요경비라는 것은 소득에 대응하는 비용의 성격을 가지고 있다.따라서 구법조항의 위임에 의하여 대통령령에 규정될 내용은 자산을 양도하면서 양도소득을 얻기 위하여 객관적으로 필요성이 있어 지출한 비용 및 이와 유사한 성격을 가지고 있는 것에 한정될 것임을 충분히 예측할 수 있다.그러므로 구법조항이 조세법률주의와 포괄위임금지원칙에 위배된다고 볼 수 없다.』"
52664,전문,37,나.선례 변경의 필요성 여부
52664,전문,38,심판대상조항은 2009.12.31.
52664,전문,39,"법률 제9897호 개정으로 구 소득세법 제97조 제1항 제4호(구법조항)가 제3호로 그 위치만 변경된 것이고 내용에 변화가 없으므로, 위와 같은 헌법재판소 선례를 변경할 특별한 사정변경이라 할 수 없는바, 이 사건에서도 위 견해를 그대로 유지한다.따라서 심판대상조항은 포괄위임금지원칙에 위배되지 아니한다.다.청구인의 나머지 주장에 대한 판단"
52664,전문,40,청구인은 심판대상조항의 위임에 따른 소득세법 시행령 제163조 제5항 제1호 각목에 해당하지 않으면 그와 본질적으로 차이가 없는 비용이라도 필요경비로 공제될 수 없게 되므로 조세평등주의에 위배되고 재산권을 침해한다고 주장한다.그러나 법률조항의 위임에 따라 대통령령으로 규정한 내용이 헌법에 위반될 경우라도 그 대통령령의 규정이 위헌으로 되는 것은 별론으로 하고 그로 인하여 정당하고 적법하게 입법권을 위임한 수권법률까지 위헌으로 되는 것은 아니므로(헌재 1997.9.25.
52664,전문,41,"96헌바18등 참조), 이 사건 위약금을 필요경비로 규정하지 않은 대통령령에 대하여 헌법에 위반되는지 여부가 문제된다고 하더라도 이러한 사유로 수권법률인 심판대상조항까지 위헌으로 되는 것은 아니다.즉, 청구인의 위와 같은 주장은 시행령의 위헌성을 다투는 것이지, 심판대상조항의 위헌성을 다투는 것이라고 보기 어렵다.가사 심판대상조항의 문제로 보더라도 이는 포괄위임금지원칙 위배 주장과 다르지 않고, 이에 대한 판단은 앞서 본 바와 같다.5.결론"
52664,전문,42,그렇다면 심판대상조항은 헌법에 위반되지 아니하므로 관여 재판관 전원의 일치된 의견으로  주문과 같이 결정한다.
