결정례일련번호,구분,문장번호,내용
155485,전문,1,사  건  2020헌마89 교정시설 화장실 출입문 탈락 방치 위헌확인
155485,전문,2,청 구 인  유○○○
155485,전문,3,피 청 구 인  ○○구치소장
155485,전문,4,[주  문]
155485,전문,5,이 사건 심판청구를 각하한다.[이  유]
155485,전문,6,1.사건개요
155485,전문,7,청구인은 사기 등 혐의로 구속되어 2019.2.28.
155485,전문,8,"○○구치소에 수용되었다.청구인은 최초에 ○○구치소에 수용될 당시 혼거실에 수용되었으나, 징벌집행으로 징벌실에 수용된 후 2019.6.29."
155485,전문,9,"화장실 문이 설치되지 않은 독거실에 수용되었다.이에 청구인은 피청구인이 청구인이 수용된 독거실의 화장실 문을 탈착상태로 방치한 부작위 및 수용자 거실 간 각기 다른 개별적인 화장실 문 탈·부착 상태를 유지한 행위가 기본권을 침해한다고 주장하며, 2020.1.16."
155485,전문,10,이 사건 심판을 청구하였다.
155485,전문,11,2.심판대상
155485,전문,12,"청구인은 수용자 거실 간 각기 다른 개별적인 화장실 문 탈·부착 상태를 유지한 행위가 평등권을 침해한다고 주장하나, 청구인의 주장 취지는 혼거실과 달리 독거실에 화장실 문을 설치하지 않은 것, 즉 피청구인이 청구인이 수용된 독거실의 화장실 문을 탈착상태로 방치한 부작위로 인해 혼거실 수용자와 비교할 때 평등권을 침해받고 있다는 것이다.그렇다면 위 부작위에 대하여 판단하는 이상 화장실 문 탈·부착 상태를 달리 유지한 행위에 대한 심판청구는 판단하지 아니한다.그러므로 이 사건 심판대상은 피청구인이 청구인이 수용된 독거실의 화장실 문을 탈착상태로 방치한 부작위(이하 ‘이 사건 부작위’라 한다)가 청구인의 기본권을 침해하는지 여부이다."
155485,전문,13,3.판단
155485,전문,14,가.행정권력의 부작위에 대한 헌법소원은 공권력의 주체에게 헌법에서 유래하는 작위의무가 특별히 구체적으로 규정되어 이에 의거하여 기본권의 주체가 행정행위 내지 공권력의 행사를 청구할 수 있음에도 공권력의 주체가 그 의무를 해태하는 경우에만 허용된다(헌재 2000.3.30.
155485,전문,15,98헌마206 참조).
155485,전문,16,"위에서 말하는 “공권력의 주체에게 헌법에서 유래하는 작위의무가 특별히 구체적으로 규정되어”가 의미하는 바는, 첫째, 헌법상 명문으로 공권력 주체의 작위의무가 규정되어 있는 경우, 둘째, 헌법의 해석상 공권력 주체의 작위의무가 도출되는 경우, 셋째, 공권력 주체의 작위의무가 법령에 구체적으로 규정되어 있는 경우 등을 포괄하고 있는 것으로 볼 수 있다(헌재 2004.10.28."
155485,전문,17,2003헌마898; 헌재 2011.8.30.
155485,전문,18,2006헌마788 참조).
155485,전문,19,"살피건대 헌법의 명문 또는 해석상 구치소 독거실의 화장실 문을 설치해야 할 작위의무를 인정할 수 없고, 다른 법령을 살펴보아도 그러한 작위의무가 규정되어 있지 않다."
155485,전문,20,"나.설령 청구인의 주장을 피청구인이 청구인으로 하여금 화장실 문이 설치되지 않은 독거실의 사용을 강제한 행위를 다투는 취지로 선해하더라도, 청구인은 2019.6.29.부터 독거실에 수용되었으므로, 그로부터 90일이 경과하여 청구한 이 사건 심판청구는 청구기간을 경과하였다."
155485,전문,21,4.결론
155485,전문,22,"그렇다면 이 사건 심판청구는 부적법하므로, 헌법재판소법 제72조 제3항 제2호, 제4호에 따라 이 사건 심판청구를 각하하기로 하여, 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다."
