결정례일련번호,구분,문장번호,내용
141048,전문,1,사      건      2009헌마711  형사소송법 제249조 위헌확인
141048,전문,2,청  구  인      김 ○ 식
141048,전문,3,주           문
141048,전문,4,이 사건 심판청구를 각하한다.
141048,전문,5,이           유
141048,전문,6,1.사건의 개요
141048,전문,7,청구인은 2009.9.9.
141048,전문,8,청구외 강 ○ 현○ 2000.3.7.
141048,전문,9,"청구인으로부터 주식대금 1,000만원을 편취하였다면서 강 ○ 현을 고소하였는데, 서울중앙지방검찰청 검사는 위 고소사건에 대하여 공소시효가 2007.3.6."
141048,전문,10,이미 완성되었다는 이유로 2009.10.6.
141048,전문,11,불기소처분(각하)을 하였다.이에 청구인은 범죄의 공소시효를 규정한 형사소송법(2007.12.21.
141048,전문,12,법률 제8730호로 개정되기 전의 것)제249조(이하 ‘이 사건 법률조항’이라 한다)가 청구인의 재산권을 침해한다고 주장하면서 2009.12.8.
141048,전문,13,위 법률조항의 위헌확인을 구하는 이 사건 헌법소원심판을 청구하였다.2.판단
141048,전문,14,"법령에 대한 헌법소원심판은 법령의 시행과 동시에 기본권의 침해를 받은 자는 그 법령이 시행된 사실을 안 날로부터 90일 이내에, 그 법령이 시행된 날로부터 1년 이내에 청구하여야 하고 법령이 시행된 후에 비로소 그 법령에 해당하는 사유가 발생하여 기본권의 침해를 받게 된 경우에는 그 사유가 발생하였음을 안 날로부터 90일 이내에, 그 사유가 발생한 날로부터 1년 이내에 청구하여야 한다(헌법재판소법 제69조 제1항 및 헌재 1996.3.28."
141048,전문,15,"93헌마198, 판례집 8-1, 241, 250 등 참조)."
141048,전문,16,"그런데 청구인이 이 사건 법률조항에 의하여 기본권을 침해당하였다면, 그 사유는 이 사건 법률조항에 의하여 위 고소사건에 대한 공소시효가 완성된 2007.3.6."
141048,전문,17,발생하였다 할 것이고(헌재 2000.12.12.
141048,전문,18,"2000헌마716, 헌재 2001.6.26."
141048,전문,19,"2001헌마387 각 참조), 그 때로부터 1년이 지난 2009.12.8."
141048,전문,20,제기된 이 사건 심판청구는 청구기간이 경과되었음이 명백하다.3.결론
141048,전문,21,따라서 청구인의 심판청구는 부적법하므로 헌법재판소법 제72조 제3항 제2호 전단에 의하여 이를 각하하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다.
141048,전문,22,2009.12.15.
141048,전문,23,재판장    재판관  이○      이○
141048,전문,24,──────
141048,전문,25,재판관  김○        김○
141048,전문,26,──────
141048,전문,27,재판관  송○        송○
141048,전문,28,──────
