결정례일련번호,구분,문장번호,내용
54198,전문,1,사 건 2017헌마136 기소유예처분취소
54198,전문,2,청 구 인 한 ○ 진
54198,전문,3,대리인 변호사 현○
54198,전문,4,피 청 구 인 제주지방검찰청 검사
54198,전문,5,[주 문]
54198,전문,6,이 사건 심판청구를 각하한다.[이 유]
54198,전문,7,1.사건개요
54198,전문,8,청구인은 2000.11.16.
54198,전문,9,"피청구인으로부터 정보통신공사업법위반 피의사실에 대하여 기소유예처분(제주지방검찰청 2000년형제11767호, 이하 ‘이 사건 기소유예처분’이라 한다)을 받았는데, 2017.2.16."
54198,전문,10,위 기소유예처분의 취소를 구하는 이 사건 헌법소원심판을 청구하였다.
54198,전문,11,2.판단
54198,전문,12,"헌법재판소법 제69조 제1항의 규정에 의하면 제68조 제1항의 규정에 의한 헌법소원의 심판은 그 사유가 있음을 안 날부터 90일 이내에, 그 사유가 있은 날부터 1년 이내에 청구하여야 하는데, 청구인은 이 사건 기소유예처분일인 2000.11.16.로부터 1년이 이미 지난 2017.2.16.에야 비로소 이 사건 헌법소원 심판청구를 하였음이 역수상 명백하다.또한 청구인은 기소유예처분을 받은 사실을 알지 못하였으므로 청구기간을 준수하지 못한 데 정당한 사유가 있다는 취지로 주장하나, 청구인의 주장에 의하더라도 이 사건 기소유예처분의 피의사실은 ○○정보통신이라는 통신공사업체 운영과 관련한 것인데 청구인은 위 업체의 명의상 대표자였던 점, 청구인은 위 사건으로 2000.6.30."
54198,전문,13,구속되었다가 구속적부심의 석방결정으로 2000.7.6.
54198,전문,14,"석방되기도 하였던 점 등에 비추어 보면, 청구인은 이 사건 기소유예처분의 피의사실로 조사받은 사실 자체는 인지하고 있었다고 인정되는바, 이 사건 기소유예처분에 대한 헌법소원심판청구의 청구기간을 준수하지 못한 데 대한 정당한 사유가 있다고 보기 어렵다."
54198,전문,15,3.결론
54198,전문,16,그렇다면 이 사건 심판청구는 청구기간을 도과하여 부적법하므로 헌법재판소법 제72조 제3항 제2호에 따라 이를 각하하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다.
