결정례일련번호,구분,문장번호,내용
151019,전문,1,사 건 2019헌마393 신고 미출동 위헌확인
151019,전문,2,청 구 인 진○○○
151019,전문,3,[주 문]
151019,전문,4,이 사건 심판청구를 각하한다.[이 유]
151019,전문,5,1.사건개요
151019,전문,6,"청구인은 교회가 주최하는 종교집회에 참석하던 중 집회 장소에 노숙자가 술자리를 벌이는 등 집회를 방해하고 있는 것으로 보여 인근 파출소에 신고를 하였으나 경찰관이 현장에 직접 출동하지 아니하자, 위와 같은 공권력 불행사는 청구인의 기본권을 침해하여 위헌이라고 주장하면서 2019.4.13."
151019,전문,7,이 사건 헌법소원심판을 청구하였다.
151019,전문,8,2.판단
151019,전문,9,일반적으로 공권력의 행사 또는 불행사로 인하여 헌법상 보장된 기본권을 침해받은 자는 헌법재판소법 제68조 제1항에 의하여 헌법소원심판을 제기할 수 있다.그러나 헌법과 형사소송법 기타 법률의 규정에 의하더라도 고소인 등이 수사기관에 대해 특정한 방법에 의한 수사를 요구할 권리가 있다고 할 수 없는바(헌재 2015.9.1.
151019,전문,10,"2015헌마840 참조), 고소ㆍ고발도 아닌 단순한 신고는 수사기관에 대하여 그 직권발동을 촉구하는 것에 불과하여 수사기관이 반드시 현장에 출동하는 방법으로 청구인이 주장하는 집회방해의 점에 관하여 수사하여야 할 의무가 있다고 할 수 없다.따라서 청구인의 신고에 대하여 인근 파출소의 사법경찰관 등이 위 노숙자의 집회방해의 점을 수사하기 위하여 직접 현장에 출동하지 아니한 것은 헌법소원심판의 대상이 되는 공권력의 불행사에 해당하지 아니한다."
151019,전문,11,3.결론
151019,전문,12,그렇다면 이 사건 심판청구는 부적법하므로 이를 각하하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다.
