결정례일련번호,구분,문장번호,내용
14244,전문,1,사      건      2010헌○  재판취소(재심)청  구  인      이 ○ 재
14244,전문,2,재심대상결정      헌법재판소 2010.7.27.
14244,전문,3,2010헌아192 결정
14244,전문,4,주           문
14244,전문,5,이 사건 심판청구를 각하한다.
14244,전문,6,이           유
14244,전문,7,1.사건의 개요
14244,전문,8,청구인은 창원지방법원 통영지원에서 2008.8.27.
14244,전문,9,"무고죄로 징역 8월, 집행유예 2년을 선고받고(창원지방법원 통영지원 2006고단341), 재심을 청구하였으나 기각되었고(창원지방법원 통영지원 2008재고단2), 이에 항고, 재항고하였으나 모두 기각되었다(창원지방법원 2009로43, 대법원 2009모683)."
14244,전문,10,"한편 청구인은 위 2008재고단2 사건을 본안 사건으로 하여 법관기피신청을 하였으나 기각되었고(창원지방법원 통영지원 2008초기264), 이에 대한 항고 및 재항고도 모두 기각되었다(부산고등법원 2009로1, 대법원 2009모137)."
14244,전문,11,"청구인은 위 창원지방법원 통영지원 2006고단341 판결과 이에 관한 재심사건의 재판들에 대하여 그 취소를 구하는 헌법소원심판을 청구하였다가 각하되자(2009헌마517), 동일한 취지의 헌법소원심판을 다시 청구하였으나 모두 일사부재리 원칙 위반으로 각하되었다(2009헌아156.2009헌아194, 2010헌아192)."
14244,전문,12,이에 청구인은 2010.8.9.
14244,전문,13,역시 동일한 취지로 위 법원의 재판들의 취소를 구하거나 위 헌법재판소 결정들의 취소를 구하는 이 사건 헌법소원심판을 청구하였다.
14244,전문,14,2.판단
14244,전문,15,"청구인의 주장을 살펴보면 위 법원의 재판들이 위법 또는 부당하여 취소되어야 한다는 취지인바, 이는 헌법재판소법 제40조에 의하여 준용되는 민사소송법 제451조 제1항 각 호의 재심사유 중 어디에도 해당되지 아니한다."
14244,전문,16,3.결론
14244,전문,17,그렇다면 이 사건 심판청구는 부적법하므로 헌법재판소법 제72조 제3항 제4호에 따라 이를 각하하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다.2010.8.24.
