결정례일련번호,구분,문장번호,내용
34157,전문,1,사건      2013헌마797  군사기밀보호법 제13조 제1항 위헌확인
34157,전문,2,청구인      오 ○ 선
34157,전문,3,[주문]
34157,전문,4,이 사건 심판청구를 각하한다.
34157,전문,5,[이유]
34157,전문,6,1.사건의 개요
34157,전문,7,"가.청구인은 국군지휘통신사령부 ○○근무지원대 ○○지원대 ○○정비반 정비담당 등으로 복무한 사람으로서, 청구외 손 ○ 범의 요청을 받고 2009.5.경 위 사령부 ○○정비반 사무실 내 군사기밀 보관용 캐비넷에 업무상 보관 중이던 Ⅱ급 군사기밀인 ‘AF-87 창정비 교범’을 꺼내어 이를 위 손 ○ 범에게 교부하였다는 사실로 기소되어, 항소심에서 구 군사기밀보호법(1993.12.27."
34157,전문,8,"법률 제4616호로 전부 개정되고, 2011.6.9."
34157,전문,9,법률 제10792호로 개정되기 전의 것)제13조 제1항(이하 ‘이 사건 법률조항’이라 한다)위반으로 징역 1년 6월에 집행유예 2년의 유죄판결을 선고받았으며(고등군사법원 2013.2.13.
34157,전문,10,"선고 2011 노285 판결), 이후 위 유죄판결이 확정되었다(대법원 2013.9.13."
34157,전문,11,선고 2013도2976 판결).
34157,전문,12,"나.이에 청구인은 암호장비의 배포, 현황유지 등 행정업무를 담당하였을 뿐 암호장비의 정비업무는 전혀 수행한 사실이 없는바, 이 사건 법률조항의 ‘업무상 군사기밀을 취급하는 자 또는 취급하였던 자’에 청구인과 같이 당해 군사기밀의 주재자가 아닌 사람이 포함되는 것으로 해석·적용하는 것은 청구인의 신체의 자유 등을 침해하여 위헌이라고 주장하면서 2013.11.25."
34157,전문,13,이 사건 헌법소원심판청구를 하였다.
34157,전문,14,2.판단
34157,전문,15,"법령에 대한 헌법소원은 법령이 시행된 뒤에 비로소 그 법령에 해당되는 사유가 발생하여 기본권의 침해를 받게 되는 경우에는 그 사유가 발생하였음을 안 날로부터 90일 이내에, 사유가 발생한 날로부터 1년 이내에 청구하여야 한다(헌재 1999.4.29."
34157,전문,16,"96헌마352 등, 판례집 11-1, 477, 496 등)."
34157,전문,17,청구인은 2013.2.13.
34157,전문,18,"항소심 법원으로부터 이 사건 법률조항 위반으로 유죄 판결을 선고받음에 따라 늦어도 그 무렵에는 이 사건 법률조항에 의한 기본권 침해사유가 발생하였음을 알았다고 할 것인바, 그로부터 90일이 훨씬 경과한 2013.11.25."
34157,전문,19,제기된 이 사건 심판청구는 청구기간이 도과되어 부적법하다.
34157,전문,20,3.결론
34157,전문,21,그렇다면 이 사건 심판청구는 부적법하므로 헌법재판소법 제72조 제3항 제2호에 의하여 각하하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다.
34157,전문,22,2013.12.17.
