결정례일련번호,구분,문장번호,내용
146980,전문,1,[당 사 자]
146980,전문,2,청 구 인 최 ○ 식
146980,전문,3,피 청 구 인 서울지방검찰청 검사
146980,전문,4,[주 문]
146980,전문,5,이 사건 심판청구를 각하한다.[이 유]
146980,전문,6,1.사건의 개요
146980,전문,7,가.청구인은 1998.7.15.
146980,전문,8,"서울지방검찰청 서부지청에 청구인의 처 이 ○ 자와 자 최 ○ 선, 최 ○ 규 등이 공모하여 청구인의 재산인 전세보증금 1,000만원을 집주인으로부터 받아 도주하였다는 이유로 위 이 ○ 자 등을 사기죄 등으로, 성명불상의 남자 등 20여명을 간통죄 등으로 고소하였다."
146980,전문,9,나.그 후 청구인은 1999.2.4.
146980,전문,10,위 고소사건을 이송받아 수사한 피청구인이 위 사건의 처분결과를 통지하지 않는 것은 헌법에 보장된 기본권을 침해하는 것이라고 주장하면서 헌법소원심판(99헌마74)을 청구하였다가 1999.2.24.
146980,전문,11,위 고소사건은 종국결정이 내려지지 않은 상태이므로 헌법소원의 심판대상이 되는 공권력의 행사 또는 불행사 자체가 없다는 이유로 각하되었다.
146980,전문,12,다.이에 청구인은 다시 1999.7.6.
146980,전문,13,종전의 헌법소원에서와 같은 주장을 하면서 이 사건 헌법소원심판을 청구하였다.
146980,전문,14,2.판단
146980,전문,15,"위 고소사건은 서울지방검찰청 서부지청, 서울지방검찰청, 부산지방검찰청 동부지청으로 각 이송되었다가 다시 서울지방검찰청으로 이송되어(1999년형제77301호) 현재 피청구인이 수사중에 있으며, 아직 종국결정이 내려지지 아니한 상태이다.그렇다면, 피청구인에게 처분결과에 대한 통지의무가 없고, 따라서 헌법소원의 심판대상이 되는 공권력의 행사 또는 불행사 자체가 없다 할 것이다.따라서 이 사건 심판청구는 부적법하므로 이를 각하하기로 하여 관여재판관 전원의 일치된 의견으로 주문과 같이 결정한다."
