법령일련번호,MST,구분,문장번호,내용
000110,253609,조문,1,"제1조(목적) 이 법은 한국관광공사를 설립하여 관광진흥, 관광자원 개발, 관광산업의 연구ㆍ개발 및 관광 관련 전문인력의 양성ㆍ훈련에 관한 사업을 수행하게 함으로써 국가경제 발전과 국민복지 증진에 이바지함을 목적으로 한다."
000110,253609,조문,2,"제2조(법인격) 한국관광공사(이하 ""공사""라 한다)는 법인으로 한다."
000110,253609,조문,3,제3조(사무소)
000110,253609,항,4,① 공사의 주된 사무소의 소재지는 정관으로 정한다.
000110,253609,항,5,② 공사는 그 업무수행을 위하여 필요하면 이사회의 의결을 거쳐 필요한 곳에 지사 또는 사무소를 둘 수 있다.
000110,253609,조문,6,제4조(자본금)
000110,253609,항,7,"① 공사의 자본금은 500억원으로 하고, 그 2분의 1 이상을 정부가 출자한다."
000110,253609,항,8,"② 정부는 국유재산 중 관광사업 발전에 필요한 토지, 시설 및 물품 등을 공사에 현물로 출자할 수 있다."
000110,253609,조문,9,제5조(등기)
000110,253609,항,10,① 공사는 주된 사무소의 소재지에서 설립등기를 함으로써 성립한다.
000110,253609,항,11,"② 제1항에 따른 설립등기, 지사 또는 사무소의 설치등기, 이전등기, 변경등기, 그 밖에 공사의 등기에 필요한 사항은 대통령령으로 정한다."
000110,253609,항,12,③ 공사는 등기가 필요한 사항에 관하여는 등기 후가 아니면 제3자에게 대항하지 못한다. <개정 2023.8.8>
000110,253609,조문,13,제6조(유사명칭의 사용금지) 이 법에 따른 공사가 아닌 자는 한국관광공사 또는 이와 유사한 명칭을 사용하지 못한다.
000110,253609,조문,14,제7조(주식)
000110,253609,항,15,① 공사의 자본금은 주식으로 분할한다.
000110,253609,항,16,② 주식은 기명으로 하고 그 종류와 1주당 금액은 정관으로 정한다.
000110,253609,조문,17,제8조(정부주 매도의 제한) 정부소유의 주식을 다른 자에게 매도할 경우에는 다른 자가 소유하는 주식의 총액이 정부 소유주식의 총액을 초과하여서는 아니 된다.
000110,253609,조문,18,"제9조(사장의 대표권 제한) 공사의 이익과 사장의 이익이 상반되는 사항에 대하여는 사장이 공사를 대표하지 못하며, 감사가 공사를 대표한다."
000110,253609,조문,19,제10조(대리인의 선임) 사장은 정관으로 정하는 바에 따라 직원 중에서 공사의 업무에 관하여 재판상 또는 재판 외의 모든 행위를 할 수 있는 권한을 가진 대리인을 선임할 수 있다.
000110,253609,조문,20,제11조(비밀누설 금지 등) 공사의 임직원이나 그 직에 있었던 사람은 그 직무상 알게 된 비밀을 누설하거나 도용하여서는 아니 된다. <개정 2023.8.8>
000110,253609,조문,21,제12조(사업)
