법령일련번호,MST,구분,문장번호,내용
009502,247233,조문,1,제1장 총칙
009502,247233,조문,2,제1조(목적) 이 법은 위험물의 저장ㆍ취급 및 운반과 이에 따른 안전관리에 관한 사항을 규정함으로써 위험물로 인한 위해를 방지하여 공공의 안전을 확보함을 목적으로 한다.
009502,247233,조문,3,제2조(정의)
009502,247233,항,4,①이 법에서 사용하는 용어의 정의는 다음과 같다.
009502,247233,호,5,"1. ""위험물""이라 함은 인화성 또는 발화성 등의 성질을 가지는 것으로서 대통령령이 정하는 물품을 말한다."
009502,247233,호,6,"2. ""지정수량""이라 함은 위험물의 종류별로 위험성을 고려하여 대통령령이 정하는 수량으로서 제6호의 규정에 의한 제조소등의 설치허가 등에 있어서 최저의 기준이 되는 수량을 말한다."
009502,247233,호,7,"3. ""제조소""라 함은 위험물을 제조할 목적으로 지정수량 이상의 위험물을 취급하기 위하여 제6조제1항의 규정에 따른 허가(동조제3항의 규정에 따라 허가가 면제된 경우 및 제7조제2항의 규정에 따라 협의로써 허가를 받은 것으로 보는 경우를 포함한다. 이하 제4호 및 제5호에서 같다)를 받은 장소를 말한다."
009502,247233,호,8,"4. ""저장소""라 함은 지정수량 이상의 위험물을 저장하기 위한 대통령령이 정하는 장소로서 제6조제1항의 규정에 따른 허가를 받은 장소를 말한다."
009502,247233,호,9,"5. ""취급소""라 함은 지정수량 이상의 위험물을 제조외의 목적으로 취급하기 위한 대통령령이 정하는 장소로서 제6조제1항의 규정에 따른 허가를 받은 장소를 말한다."
009502,247233,호,10,"6. ""제조소등""이라 함은 제3호 내지 제5호의 제조소ㆍ저장소 및 취급소를 말한다."
009502,247233,항,11,"②이 법에서 사용하는 용어의 정의는 제1항에서 규정하는 것을 제외하고는 「소방기본법」, 「화재의 예방 및 안전관리에 관한 법률」, 「소방시설 설치 및 관리에 관한 법률」 및 「소방시설공사업법」에서 정하는 바에 따른다. <개정 2014.12.30, 2017.3.21, 2021.11.30>"
009502,247233,조문,12,제3조(적용제외) 이 법은 항공기ㆍ선박(선박법 제1조의2제1항의 규정에 따른 선박을 말한다)ㆍ철도 및 궤도에 의한 위험물의 저장ㆍ취급 및 운반에 있어서는 이를 적용하지 아니한다. <개정 2007.8.3>
009502,247233,조문,13,제3조의2(국가의 책무)
009502,247233,항,14,① 국가는 위험물에 의한 사고를 예방하기 위하여 다음 각 호의 사항을 포함하는 시책을 수립ㆍ시행하여야 한다.
009502,247233,호,15,1. 위험물의 유통실태 분석
009502,247233,호,16,2. 위험물에 의한 사고 유형의 분석
009502,247233,호,17,3. 사고 예방을 위한 안전기술 개발
009502,247233,호,18,4. 전문인력 양성
009502,247233,호,19,5. 그 밖에 사고 예방을 위하여 필요한 사항
009502,247233,항,20,② 국가는 지방자치단체가 위험물에 의한 사고의 예방ㆍ대비 및 대응을 위한 시책을 추진하는 데에 필요한 행정적ㆍ재정적 지원을 하여야 한다.
009502,247233,조문,21,"제4조(지정수량 미만인 위험물의 저장ㆍ취급) 지정수량 미만인 위험물의 저장 또는 취급에 관한 기술상의 기준은 특별시ㆍ광역시ㆍ특별자치시ㆍ도 및 특별자치도(이하 ""시ㆍ도""라 한다)의 조례로 정한다. <개정 2014.12.30>"
009502,247233,조문,22,제5조(위험물의 저장 및 취급의 제한)
009502,247233,항,23,① 지정수량 이상의 위험물을 저장소가 아닌 장소에서 저장하거나 제조소등이 아닌 장소에서 취급하여서는 아니된다.
009502,247233,항,24,② 제1항의 규정에 불구하고 다음 각 호의 어느 하나에 해당하는 경우에는 제조소등이 아닌 장소에서 지정수량 이상의 위험물을 취급할 수 있다. 이 경우 임시로 저장 또는 취급하는 장소에서의 저장 또는 취급의 기준과 임시로 저장 또는 취급하는 장소의 위치ㆍ구조 및 설비의 기준은 시ㆍ도의 조례로 정한다. <개정 2016.1.27>
009502,247233,호,25,1. 시ㆍ도의 조례가 정하는 바에 따라 관할소방서장의 승인을 받아 지정수량 이상의 위험물을 90일 이내의 기간동안 임시로 저장 또는 취급하는 경우
009502,247233,호,26,2. 군부대가 지정수량 이상의 위험물을 군사목적으로 임시로 저장 또는 취급하는 경우
009502,247233,항,27,"③ 제조소등에서의 위험물의 저장 또는 취급에 관하여는 다음 각 호의 중요기준 및 세부기준에 따라야 한다. <개정 2008.2.29, 2013.3.23, 2014.11.19, 2016.1.27, 2017.7.26>"
009502,247233,호,28,1. 중요기준 : 화재 등 위해의 예방과 응급조치에 있어서 큰 영향을 미치거나 그 기준을 위반하는 경우 직접적으로 화재를 일으킬 가능성이 큰 기준으로서 행정안전부령이 정하는 기준
009502,247233,호,29,2. 세부기준 : 화재 등 위해의 예방과 응급조치에 있어서 중요기준보다 상대적으로 적은 영향을 미치거나 그 기준을 위반하는 경우 간접적으로 화재를 일으킬 수 있는 기준 및 위험물의 안전관리에 필요한 표시와 서류ㆍ기구 등의 비치에 관한 기준으로서 행정안전부령이 정하는 기준
009502,247233,항,30,"④ 제1항의 규정에 따른 제조소등의 위치ㆍ구조 및 설비의 기술기준은 행정안전부령으로 정한다. <개정 2008.2.29, 2013.3.23, 2014.11.19, 2017.7.26>"
009502,247233,항,31,⑤ 둘 이상의 위험물을 같은 장소에서 저장 또는 취급하는 경우에 있어서 당해 장소에서 저장 또는 취급하는 각 위험물의 수량을 그 위험물의 지정수량으로 각각 나누어 얻은 수의 합계가 1 이상인 경우 당해 위험물은 지정수량 이상의 위험물로 본다.
009502,247233,조문,32,제2장 위험물시설의 설치 및 변경
009502,247233,조문,33,제6조(위험물시설의 설치 및 변경 등)
009502,247233,항,34,"① 제조소등을 설치하고자 하는 자는 대통령령이 정하는 바에 따라 그 설치장소를 관할하는 특별시장ㆍ광역시장ㆍ특별자치시장ㆍ도지사 또는 특별자치도지사(이하 ""시ㆍ도지사""라 한다)의 허가를 받아야 한다. 제조소등의 위치ㆍ구조 또는 설비 가운데 행정안전부령이 정하는 사항을 변경하고자 하는 때에도 또한 같다. <개정 2008.2.29, 2013.3.23, 2014.11.19, 2014.12.30, 2017.7.26>"
009502,247233,항,35,"② 제조소등의 위치ㆍ구조 또는 설비의 변경없이 당해 제조소등에서 저장하거나 취급하는 위험물의 품명ㆍ수량 또는 지정수량의 배수를 변경하고자 하는 자는 변경하고자 하는 날의 1일 전까지 행정안전부령이 정하는 바에 따라 시ㆍ도지사에게 신고하여야 한다. <개정 2008.2.29, 2013.3.23, 2014.11.19, 2016.1.27, 2017.7.26>"
009502,247233,항,36,"③ 제1항 및 제2항의 규정에 불구하고 다음 각 호의 어느 하나에 해당하는 제조소등의 경우에는 허가를 받지 아니하고 당해 제조소등을 설치하거나 그 위치ㆍ구조 또는 설비를 변경할 수 있으며, 신고를 하지 아니하고 위험물의 품명ㆍ수량 또는 지정수량의 배수를 변경할 수 있다. <개정 2016.1.27>"
009502,247233,호,37,1. 주택의 난방시설(공동주택의 중앙난방시설을 제외한다)을 위한 저장소 또는 취급소
009502,247233,호,38,2. 농예용ㆍ축산용 또는 수산용으로 필요한 난방시설 또는 건조시설을 위한 지정수량 20배 이하의 저장소
009502,247233,조문,39,제7조(군용위험물시설의 설치 및 변경에 대한 특례)
009502,247233,항,40,① 군사목적 또는 군부대시설을 위한 제조소등을 설치하거나 그 위치ㆍ구조 또는 설비를 변경하고자 하는 군부대의 장은 대통령령이 정하는 바에 따라 미리 제조소등의 소재지를 관할하는 시ㆍ도지사와 협의하여야 한다.
009502,247233,항,41,② 군부대의 장이 제1항의 규정에 따라 제조소등의 소재지를 관할하는 시ㆍ도지사와 협의한 경우에는 제6조제1항의 규정에 따른 허가를 받은 것으로 본다.
009502,247233,항,42,"③ 군부대의 장은 제1항의 규정에 따라 협의한 제조소등에 대하여는 제8조 및 제9조의 규정에 불구하고 탱크안전성능검사와 완공검사를 자체적으로 실시할 수 있다. 이 경우 완공검사를 자체적으로 실시한 군부대의 장은 지체없이 행정안전부령이 정하는 사항을 시ㆍ도지사에게 통보하여야 한다. <개정 2008.2.29, 2013.3.23, 2014.11.19, 2017.7.26>"
009502,247233,조문,43,제8조(탱크안전성능검사)
009502,247233,항,44,"① 위험물을 저장 또는 취급하는 탱크로서 대통령령이 정하는 탱크(이하 ""위험물탱크""라 한다)가 있는 제조소등의 설치 또는 그 위치ㆍ구조 또는 설비의 변경에 관하여 제6조제1항의 규정에 따른 허가를 받은 자가 위험물탱크의 설치 또는 그 위치ㆍ구조 또는 설비의 변경공사를 하는 때에는 제9조제1항의 규정에 따른 완공검사를 받기 전에 제5조제4항의 규정에 따른 기술기준에 적합한지의 여부를 확인하기 위하여 시ㆍ도지사가 실시하는 탱크안전성능검사를 받아야 한다. 이 경우 시ㆍ도지사는 제6조제1항의 규정에 따른 허가를 받은 자가 제16조제1항의 규정에 따른 탱크안전성능시험자 또는 「소방산업의 진흥에 관한 법률」 제14조에 따른 한국소방산업기술원(이하 ""기술원""이라 한다)로부터 탱크안전성능시험을 받은 경우에는 대통령령이 정하는 바에 따라 당해 탱크안전성능검사의 전부 또는 일부를 면제할 수 있다. <개정 2008.6.5>"
009502,247233,항,45,"② 제1항의 규정에 따른 탱크안전성능검사의 내용은 대통령령으로 정하고, 탱크안전성능검사의 실시 등에 관하여 필요한 사항은 행정안전부령으로 정한다. <개정 2008.2.29, 2013.3.23, 2014.11.19, 2017.7.26>"
009502,247233,조문,46,제9조(완공검사)
009502,247233,항,47,"① 제6조제1항의 규정에 따른 허가를 받은 자가 제조소등의 설치를 마쳤거나 그 위치ㆍ구조 또는 설비의 변경을 마친 때에는 당해 제조소등마다 시ㆍ도지사가 행하는 완공검사를 받아 제5조제4항의 규정에 따른 기술기준에 적합하다고 인정받은 후가 아니면 이를 사용하여서는 아니된다. 다만, 제조소등의 위치ㆍ구조 또는 설비를 변경함에 있어서 제6조제1항 후단의 규정에 따른 변경허가를 신청하는 때에 화재예방에 관한 조치사항을 기재한 서류를 제출하는 경우에는 당해 변경공사와 관계가 없는 부분은 완공검사를 받기 전에 미리 사용할 수 있다."
009502,247233,항,48,② 제1항 본문의 규정에 따른 완공검사를 받고자 하는 자가 제조소등의 일부에 대한 설치 또는 변경을 마친 후 그 일부를 미리 사용하고자 하는 경우에는 당해 제조소등의 일부에 대하여 완공검사를 받을 수 있다.
009502,247233,조문,49,제10조(제조소등 설치자의 지위승계)
009502,247233,항,50,"① 제조소등의 설치자(제6조제1항의 규정에 따라 허가를 받아 제조소등을 설치한 자를 말한다. 이하 같다)가 사망하거나 그 제조소등을 양도ㆍ인도한 때 또는 법인인 제조소등의 설치자의 합병이 있는 때에는 그 상속인, 제조소등을 양수ㆍ인수한 자 또는 합병후 존속하는 법인이나 합병에 의하여 설립되는 법인은 그 설치자의 지위를 승계한다."
009502,247233,항,51,"② 민사집행법에 의한 경매, 「채무자 회생 및 파산에 관한 법률」에 의한 환가, 국세징수법ㆍ관세법 또는 「지방세징수법」에 따른 압류재산의 매각과 그 밖에 이에 준하는 절차에 따라 제조소등의 시설의 전부를 인수한 자는 그 설치자의 지위를 승계한다. <개정 2005.3.31, 2010.3.31, 2016.12.27>"
009502,247233,항,52,"③ 제1항 또는 제2항의 규정에 따라 제조소등의 설치자의 지위를 승계한 자는 행정안전부령이 정하는 바에 따라 승계한 날부터 30일 이내에 시ㆍ도지사에게 그 사실을 신고하여야 한다. <개정 2008.2.29, 2013.3.23, 2014.11.19, 2017.7.26>"
009502,247233,조문,53,"제11조(제조소등의 폐지) 제조소등의 관계인(소유자ㆍ점유자 또는 관리자를 말한다. 이하 같다)은 당해 제조소등의 용도를 폐지(장래에 대하여 위험물시설로서의 기능을 완전히 상실시키는 것을 말한다)한 때에는 행정안전부령이 정하는 바에 따라 제조소등의 용도를 폐지한 날부터 14일 이내에 시ㆍ도지사에게 신고하여야 한다. <개정 2008.2.29, 2013.3.23, 2014.11.19, 2017.7.26>"
009502,247233,조문,54,제11조의2(제조소등의 사용 중지 등)
009502,247233,항,55,"① 제조소등의 관계인은 제조소등의 사용을 중지(경영상 형편, 대규모 공사 등의 사유로 3개월 이상 위험물을 저장하지 아니하거나 취급하지 아니하는 것을 말한다. 이하 같다)하려는 경우에는 위험물의 제거 및 제조소등에의 출입통제 등 행정안전부령으로 정하는 안전조치를 하여야 한다. 다만, 제조소등의 사용을 중지하는 기간에도 제15조제1항 본문에 따른 위험물안전관리자가 계속하여 직무를 수행하는 경우에는 안전조치를 아니할 수 있다."
009502,247233,항,56,② 제조소등의 관계인은 제조소등의 사용을 중지하거나 중지한 제조소등의 사용을 재개하려는 경우에는 해당 제조소등의 사용을 중지하려는 날 또는 재개하려는 날의 14일 전까지 행정안전부령으로 정하는 바에 따라 제조소등의 사용 중지 또는 재개를 시ㆍ도지사에게 신고하여야 한다.
009502,247233,항,57,③ 시ㆍ도지사는 제2항에 따라 신고를 받으면 제조소등의 관계인이 제1항 본문에 따른 안전조치를 적합하게 하였는지 또는 제15조제1항 본문에 따른 위험물안전관리자가 직무를 적합하게 수행하는지를 확인하고 위해 방지를 위하여 필요한 안전조치의 이행을 명할 수 있다.
009502,247233,항,58,④ 제조소등의 관계인은 제2항의 사용 중지신고에 따라 제조소등의 사용을 중지하는 기간 동안에는 제15조제1항 본문에도 불구하고 위험물안전관리자를 선임하지 아니할 수 있다.
009502,247233,조문,59,"제12조(제조소등 설치허가의 취소와 사용정지 등) 시ㆍ도지사는 제조소등의 관계인이 다음 각 호의 어느 하나에 해당하는 때에는 행정안전부령이 정하는 바에 따라 제6조제1항에 따른 허가를 취소하거나 6월 이내의 기간을 정하여 제조소등의 전부 또는 일부의 사용정지를 명할 수 있다. <개정 2008.2.29, 2013.3.23, 2014.11.19, 2014.12.30, 2016.1.27, 2017.7.26, 2020.10.20>"
009502,247233,항,60,
009502,247233,호,61,1. 제6조제1항 후단의 규정에 따른 변경허가를 받지 아니하고 제조소등의 위치ㆍ구조 또는 설비를 변경한 때
009502,247233,호,62,2. 제9조의 규정에 따른 완공검사를 받지 아니하고 제조소등을 사용한 때
009502,247233,호,63,2의2. 제11조의2제3항에 따른 안전조치 이행명령을 따르지 아니한 때
009502,247233,호,64,3. 제14조제2항의 규정에 따른 수리ㆍ개조 또는 이전의 명령을 위반한 때
009502,247233,호,65,4. 제15조제1항 및 제2항의 규정에 따른 위험물안전관리자를 선임하지 아니한 때
009502,247233,호,66,5. 제15조제5항을 위반하여 대리자를 지정하지 아니한 때
009502,247233,호,67,6. 제18조제1항의 규정에 따른 정기점검을 하지 아니한 때
009502,247233,호,68,7. 제18조제3항에 따른 정기검사를 받지 아니한 때
009502,247233,호,69,8. 제26조의 규정에 따른 저장ㆍ취급기준 준수명령을 위반한 때
009502,247233,조문,70,제13조(과징금처분)
009502,247233,항,71,① 시ㆍ도지사는 제12조 각 호의 어느 하나에 해당하는 경우로서 제조소등에 대한 사용의 정지가 그 이용자에게 심한 불편을 주거나 그 밖에 공익을 해칠 우려가 있는 때에는 사용정지처분에 갈음하여 2억원 이하의 과징금을 부과할 수 있다. <개정 2016.1.27>
009502,247233,항,72,"② 제1항의 규정에 따른 과징금을 부과하는 위반행위의 종별ㆍ정도 등에 따른 과징금의 금액 그 밖의 필요한 사항은 행정안전부령으로 정한다. <개정 2008.2.29, 2013.3.23, 2014.11.19, 2017.7.26>"
009502,247233,항,73,"③ 시ㆍ도지사는 제1항의 규정에 따른 과징금을 납부하여야 하는 자가 납부기한까지 이를 납부하지 아니한 때에는 「지방행정제재ㆍ부과금의 징수 등에 관한 법률」에 따라 징수한다. <개정 2013.8.6, 2020.3.24>"
009502,247233,조문,74,제3장 위험물시설의 안전관리
009502,247233,조문,75,제14조(위험물시설의 유지ㆍ관리)
009502,247233,항,76,① 제조소등의 관계인은 당해 제조소등의 위치ㆍ구조 및 설비가 제5조제4항의 규정에 따른 기술기준에 적합하도록 유지ㆍ관리하여야 한다.
